username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Humza Yousaf,24069453,2017-05-23 11:52:02,"Would be wise for Editors to have a word with their staff - the next few days will be unbearable for some, they don... https://t.co/A3vj4lg6FL",196,None,55933,4108,0.16666666666666666,0.3333333333333333
Grayson Dolan,2156278138,2017-05-19 23:33:01,Everyone reading this have a great day. If something doesn't go your way don't stress out. Life is long. Nothing is as bad as it seems now,9654,None,2738178,17046,0.01666666666666672,0.6055555555555555
Shaun Robinson,22109106,2017-05-24 01:00:09,Working hard for something you don't care about is called Stress. Working hard for something you love is called Passion.,17,None,195380,703,-0.02777777777777779,0.561111111111111
Retro Spectro,126336445,2017-05-20 14:38:13,Bless me don't stress me,1138,None,385992,396,0.0,0.0
Colby,2488576712,2017-05-16 16:03:50,"Meet new people. Start putting yourself out there, and move on. Don't stress over it, you stopped being friends for... https://t.co/Ku6eVGQPWR",350,None,112147,84,0.13636363636363635,0.45454545454545453
Hootsuite,17093617,2017-05-22 19:15:23,Still haven't figured out the hashtag? Don't stress  https://t.co/EO0pAAFlD1 The do's and don'ts of how to use has... https://t.co/oyBMWPTC2w,29,None,8091708,1548042,0.0,0.0
Paula White-Cain,27768807,2017-05-17 13:01:24,Don't let stress &amp; worry consume your day!! #PraiseGod #Worship your way through it!!,164,PraiseGod,519873,33574,0.0,0.0
Dr. Bilal Philips,304808873,2017-05-20 05:00:01,"Having complete #trust in Allah is such a stress reliever. Because when you don't get what you want, you just know... https://t.co/5IZ2Z2ejit",172,trust,394544,8,0.05,0.45
John McGrath,1536488724,2017-05-20 17:11:10,"Don't Stress
Get Busy choosing
To be joyful, it's your choice.

#Happiness
#joy #Gratitude
#WeekendWisdom #Believe https://t.co/kyvJumYaLs",96,Happiness,103883,77880,0.5333333333333333,0.2333333333333333
BEEZ,3031529655,2017-05-18 15:12:07,I can't do nothing for you. Don't stress over me.,125,None,56735,1169,0.0,0.0
Allie🐰,30243284,2017-05-22 15:27:08,"Me: I have so much to do and I don't know where to start. 

Coffee: Shhh. Don't stress, child. Sip and I will work... https://t.co/kHyCh7oRSw",31,None,38493,1189,0.2,0.2
Doreen Virtue,74924273,2017-05-17 09:00:02,"Gentle stretches are one of the best ways to disperse stress hormones, and to insure that you don't hold stress in your muscle memory.",64,None,147430,0,0.6,0.55
realtor.com,17351940,2017-05-21 00:02:42,Don't let the #homeinspection stress you out! Here are 7 essential things you need to know: https://t.co/1GAzM7d6Fn... https://t.co/xZrpPkAs2L,55,homeinspection,201934,491,0.0,0.3
Gary H Goodridge,287453721,2017-05-18 01:07:33,Life is too short to stress over people who don't even deserve to be an issue in your life.,63,None,83533,55166,0.0,0.3
YOURSMILE 😊,2392582350,2017-05-17 10:17:37,Don't stress your importance in the life of someone who doesn't see your worth.,59,None,69570,995,0.3,0.1
