username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
SportsCenter,26257166,2017-05-23 12:52:08,"ICYMI: Don't worry, Manu has not officially retired yet.  https://t.co/PrHkydQRwb",1754,None,33086647,1667,0.0,0.0
Relationship ♡,89423854,2017-05-24 17:45:53,"5 ways to find happiness: don't worry, don't hate, expect less, give more, live simply.",547,None,4336925,2524,0.061616161616161604,0.4206349206349207
Drew Dirksen,3057649773,2017-05-24 17:59:17,"Don't worry my love we're learning to love, but it's hard when we're young",316,None,145225,20746,0.2020833333333333,0.5354166666666667
Nygel Edmonds,2511415609,2017-05-23 20:57:19,"A relationship with the man up stairs, is the only relationship I don't have to worry about.",314,None,12315,1171,0.0,1.0
AKA,33612908,2017-05-24 19:50:18,Don't worry about Jose. Just tune in next season on Thursday nights &amp; watch your team play Lazio or whatever .... https://t.co/pn3qBs3kix,176,None,1650204,526,0.0,0.0
Dr. Bilal Philips,304808873,2017-05-24 00:00:00,"""When you get worried, pray about it. When you've prayed, don't worry about it. It's in Allah's hands now."" #Muslims https://t.co/SIW7sMkcbv",220,Muslims,394545,8,0.0,0.0
Richard 🐸 Spencer,402181258,2017-05-23 17:16:35,"Don't worry. When we're in charge, these conformists will do our bidding. Slaves are always looking for masters. https://t.co/eBvzwCcy7g",218,None,61202,554,0.0,0.0
Breitbart News,457984599,2017-05-24 02:37:53,But don't ever blame it on lax immigration! https://t.co/BIkHWokiuV,169,None,698715,249,0.0,0.0
Porinju Veliyath,83297832,2017-05-23 07:29:44,"When making money in stocks seems too easy, market gives shockers to keep us humble - don't worry, all is well",190,None,61476,148,0.11666666666666667,0.6166666666666667
Counterparts,38778473,2017-05-24 18:35:05,working on a warped setlist and maybe we'll throw in a new one but don't worry the lyrics don't matter just pit or something,66,None,43363,141,0.13636363636363635,0.45454545454545453
INSIDER,3226282347,2017-05-24 17:39:06,"A whitewater rafting tour sends you over a waterfall. Don't worry, helmets are provided!  https://t.co/fu37AwmZqm",113,None,85917,515,0.0,0.0
General Hospital,41665751,2017-05-23 20:32:50,"Everyone chips in when glitter's involved! Don't worry, Scarlett's a pro and did her part in one adorable take. #GH... https://t.co/u0i7lYw2wQ",71,GH,221052,188,0.5,1.0
Gary Barlow,386654472,2017-05-23 16:08:37,Don't worry we'll look after u xxx https://t.co/6Un5qsOw41,111,None,4352908,3749,0.0,0.0
Zachary Ryan,48025152,2017-05-24 18:00:02,"""hey, don't worry about it. i'm sure it happens to a lot of Master Swords."" https://t.co/V0chgJfv3b",84,None,4519,655,0.5,0.8888888888888888
