created,text,retwc,hashtag,followers,friends
2017-05-02 17:59:35,"b""RT @NCState: Thanks to @PackMensBball's @CoachKeattsNCSU for helping ease exam stress by feeding the Pack. Finish strong, y'all! \xf0\x9f\x90\xba\xf0\x9f\x90\xbe\xf0\x9f\x8f\x80 #NCSta\xe2\x80\xa6""",12,None,2203,172
2017-05-02 17:59:32,b'RT @realsaintclair: my stress stresses me out to the point where i\xe2\x80\x99m too stressed to deal with my stress',102,None,225,141
2017-05-02 17:59:32,b'I need to start going to the gym or i dont k ow maybe not stress eat haha i cannot forget this night. Ang hot lang.',0,None,427,637
2017-05-02 17:59:30,"b'Being in the forest (or out in nature) alters brain structure for the better, a physical manifestation of stress re\xe2\x80\xa6 https://t.co/yMcgxOB7aC'",0,None,1122,613
2017-05-02 17:59:28,"b'RT @Erakir: When I say, ""No rush, take your time with it"" to an artist I mean not to stress themselves out trying to speed through a piece\xe2\x80\xa6'",1,None,341,421
2017-05-02 17:59:27,"b""@Lovesmytwoboys I'm stress chewing gum! Good luck all! #BeCharmingMom https://t.co/b8g1WCn0OZ""",0,BeCharmingMom,857,2512
2017-05-02 17:59:25,b'Hand Spinner - 2017 NEW Iusun Cool Four Spinner Fidget Aluminum Finger Stress Hand Desk Toy\xe2\x80\xa6 https://t.co/cEl48ic7Oa',0,None,152,0
2017-05-02 17:59:25,b'RT @DOPEDAEGU: I vote @BTS_twt for Top Social Artist Award #BTSBBMAs\n\ni cant stress enough how jimin looks SO GOOD with everything he just\xe2\x80\xa6',747,BTSBBMAs,1006,32
2017-05-02 17:59:25,"b""RT @TaurusIsMagic: #Taurus's don't stress because life has a pace of it's own.""",134,Taurus,155,166
2017-05-02 17:59:24,"b""RT @joeyBADASS: Everyday I give a fuck less. It just may be my luck that I'm blessed, got me screaming FUCK STRESS!""",5651,None,174,109
2017-05-02 17:59:22,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,5706,3562
2017-05-02 17:59:22,b'RT @BCBSAssociation: Studies show time with a pet can lower stress hormones &amp; improve happiness &amp; relaxation. #NationalPetDay https://t.co/\xe2\x80\xa6',163,NationalPetDay,177,250
2017-05-02 17:59:21,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,999,755
2017-05-02 17:59:20,"b""RT @NCState: Thanks to @PackMensBball's @CoachKeattsNCSU for helping ease exam stress by feeding the Pack. Finish strong, y'all! \xf0\x9f\x90\xba\xf0\x9f\x90\xbe\xf0\x9f\x8f\x80 #NCSta\xe2\x80\xa6""",12,None,1465,178
2017-05-02 17:59:19,b'RT @ndiandrh: i have the habit of staring at girls when i admire their beauty but people always think the other way round i stress. \xf0\x9f\x98\xa9',12,None,282,149
2017-05-02 17:59:18,"b""@holscarts I'll make you tea as much as you want next year, don't you stress about that xxx""",0,None,972,867
2017-05-02 17:59:17,"b'Stress, depression, heartbreak and more bullshit is really sucking the life outta me . \xf0\x9f\x98\x93 idk what to do'",0,None,992,865
2017-05-02 17:59:17,b'RT @howplantswork: Researchers identify genetic target for growing hardier plants under stress.   https://t.co/hESyoGOq6g',2,None,957,1968
2017-05-02 17:59:16,"b'Live more, complain less. More smiles, less stress. Less hate, more blessed #Dreamer'",0,Dreamer,915,365
2017-05-02 17:59:15,"b'Now I know you like stress and struggle, unfollow me back please!  \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9 https://t.co/7B4wH9OH63'",0,None,1768,499
2017-05-02 17:59:14,b'RT @harrycurI: listening to harry talk and sing is the healthiest way for me to relieve all my stress and calm my anxiety i could never rep\xe2\x80\xa6',15,None,5211,1853
2017-05-02 17:59:14,b'RT @Alexgrigorescu_: Fuck bad moods fuck stress fuck anger fuck sadness',5,None,178,147
2017-05-02 17:59:12,"b""RT @iiKttsrocks: When you rely on the power of prayer , there's really nothing to stress about. \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbe\xf0\x9f\x92\x9c I'm a believer of that""",16,None,14,56
2017-05-02 17:59:12,b'MSQ staff are managing #stress &amp; improving their well-being by practicing #meditation \xe2\x80\xa6while helping take care of o\xe2\x80\xa6 https://t.co/EO9Eyx1jYD',0,stress,522,184
2017-05-02 17:59:11,b'RT @SButler_PE: Great tips to combat exam stress on the @YoungScot snapchat and insta today!\n\nVery useful when trying to get to grips with\xe2\x80\xa6',2,None,708,689
2017-05-02 17:59:10,b'RT @wmwszn: Exercising your stress away &gt; wallowing in it.',3,None,364,322
