username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Ari Sytner M.Ed LMSW,37844996,2017-05-19 21:00:37,"When #stress levels are high, lower them by embracing #hope &amp;   knowing things will be better tomorrow. #life #faith",25,stress,192976,148559,0.33,0.52
Real Marsha Wright,61608747,2017-05-20 13:51:02,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",10,stress,556706,421179,0.25,0.8
Real Marsha Wright,61608747,2017-05-21 04:40:05,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/Vbmh10jwtu",10,Depression,556706,421179,-0.390625,0.65625
Real Marsha Wright,61608747,2017-05-21 04:52:04,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/mcaguxMASY",14,depression,556706,421179,0.0,0.0
"Lori Shemek, PhD",22448617,2017-05-20 23:27:43,Exercise is a powerful #stress reduction tool as well. https://t.co/H831BswA8l,4,stress,41976,19633,0.3,1.0
Cleveland Clinic,24236494,2017-05-18 02:10:00,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/bXmwDCX3Wm,107,stress,974155,991,-0.3,0.4
Cleveland Clinic,24236494,2017-05-14 16:59:00,3 reasons adult coloring helps relieve #stress and relax your brain: https://t.co/ny6ttdFmSG https://t.co/iePb3gf0U4,70,stress,974155,991,0.1,0.3
John Assaraf,31251832,2017-05-18 18:05:28,"Once each hour, #visualize for 1 min the goal you want to reach in the next hour. You'll experience greater #productivity with less #stress.",23,visualize,111745,27195,0.11111111111111112,0.18888888888888888
Lolly Daskal,16248319,2017-05-12 12:15:29,13 of The Best Apps To Manage Stress   by @LollyDaskal https://t.co/O5Vz4aOXk5 #Leadership #Stress #Business #HR,16,Leadership,1285284,1203530,1.0,0.3
Real Marsha Wright,61608747,2017-05-12 00:17:05,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/Sb6WSf2pKL",46,Depression,556706,421179,-0.390625,0.65625
