username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Cleveland Clinic,24236494,2017-05-18 02:10:00,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/bXmwDCX3Wm,68,stress,967847,991,-0.3,0.4
Real Marsha Wright,61608747,2017-05-17 12:26:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",29,stress,555314,420657,0.25,0.8
Real Marsha Wright,61608747,2017-05-18 03:17:02,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/yGbj6cHskI",18,Depression,555314,420657,-0.390625,0.65625
Real Marsha Wright,61608747,2017-05-18 03:27:03,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/EHqmYKXAeT",11,depression,555314,420657,0.0,0.0
Mayo Clinic,14592723,2017-05-09 16:08:03,"#Meditation: A simple, fast way to reduce #stress https://t.co/iH08KMl3oE https://t.co/6KpyIB3TAk",54,Meditation,1565523,1824,0.1,0.47857142857142854
Cleveland Clinic,24236494,2017-05-14 16:59:00,3 reasons adult coloring helps relieve #stress and relax your brain: https://t.co/ny6ttdFmSG https://t.co/iePb3gf0U4,68,stress,967847,991,0.1,0.3
AsapSCIENCE,592912724,2017-05-11 16:12:16,NEW VIDEO: 7 Simple Tips To Reduce Your #STRESS Right Now! Watch HERE: https://t.co/aQwVfuWIHC https://t.co/h5PWk46CUl,40,STRESS,385215,781,0.16450216450216448,0.4491341991341991
Scott Hanselman,5676102,2017-05-10 16:34:10,It takes a cast of thousands to make an 8 minute presentation go well. Here's a backstage view of what happens to y... https://t.co/VcPK2pQUKA,20,None,186185,7078,0.0,0.0
Lolly Daskal,16248319,2017-05-12 12:15:29,13 of The Best Apps To Manage Stress   by @LollyDaskal https://t.co/O5Vz4aOXk5 #Leadership #Stress #Business #HR,16,Leadership,1284719,1203724,1.0,0.3
MayoClinicHealthSys,21888985,2017-05-11 19:10:00,Lowering #stress may help your heart. https://t.co/DvLBxQkKcs via @keyc,17,stress,14820,2067,0.0,0.0
