username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Real Marsha Wright,61608747,2017-05-15 02:06:03,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/cIKO54jEpH",99,depression,553882,419166,0.0,0.0
Cleveland Clinic,24236494,2017-05-14 16:59:00,3 reasons adult coloring helps relieve #stress and relax your brain: https://t.co/ny6ttdFmSG https://t.co/iePb3gf0U4,67,stress,964591,991,0.1,0.3
The Dad Network,2326401527,2017-05-16 06:00:37,Stressed? Here's 5 tips to help reduce #stress as a parent https://t.co/ptEobHgoXQ #everydad,4,stress,16380,3066,0.0,0.0
Cleveland Clinic,24236494,2017-05-07 23:24:01,"#Stress can do some strange things to your body, affecting it in THESE 7 places. https://t.co/gAzI3Mtwbq https://t.co/UjAAscJtoB",74,Stress,964591,991,-0.05,0.15
Mayo Clinic,14592723,2017-05-09 16:08:03,"#Meditation: A simple, fast way to reduce #stress https://t.co/iH08KMl3oE https://t.co/6KpyIB3TAk",54,Meditation,1563292,1824,0.1,0.47857142857142854
AsapSCIENCE,592912724,2017-05-11 16:12:16,NEW VIDEO: 7 Simple Tips To Reduce Your #STRESS Right Now! Watch HERE: https://t.co/aQwVfuWIHC https://t.co/h5PWk46CUl,40,STRESS,384417,781,0.16450216450216448,0.4491341991341991
Real Marsha Wright,61608747,2017-05-12 00:17:05,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/Sb6WSf2pKL",45,Depression,553882,419166,-0.390625,0.65625
Scott Hanselman,5676102,2017-05-10 16:34:10,It takes a cast of thousands to make an 8 minute presentation go well. Here's a backstage view of what happens to y... https://t.co/VcPK2pQUKA,20,None,186055,7074,0.0,0.0
Real Marsha Wright,61608747,2017-05-11 09:35:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",23,stress,553882,419166,0.25,0.8
Lolly Daskal,16248319,2017-05-12 12:15:29,13 of The Best Apps To Manage Stress   by @LollyDaskal https://t.co/O5Vz4aOXk5 #Leadership #Stress #Business #HR,16,Leadership,1284238,1203806,1.0,0.3
MayoClinicHealthSys,21888985,2017-05-11 19:10:00,Lowering #stress may help your heart. https://t.co/DvLBxQkKcs via @keyc,17,stress,14812,2067,0.0,0.0
