username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Isha Foundation,19190337,2017-05-22 07:00:50,"#Stress, @SadhguruJV says, happens due to inability to manage our inner situation, not from surroundings. https://t.co/sj0Te8e1kg",77,Stress,110148,7,-0.0625,0.2708333333333333
womenshealth.gov,6450322,2017-05-22 18:25:01,"Some level of #stress is normal, but too much can take a toll on your health. Ways to keep your stress in check: https://t.co/DPewA6DBOq.",11,stress,980684,934,0.175,0.42499999999999993
LGBT Foundation,20374624,2017-05-22 15:24:42,We are running a FREE #Stress and #Anxiety Course on Thursday 15th &amp; 22nd June 6-8 pm. Email therapy@lgbt.foundation for further details.,12,Stress,80027,4786,0.2,0.65
Understood,43344979,2017-05-22 18:52:01,.@docschultz explains why a competence anchor can help kids cope with #stress about schoolwork. #LD https://t.co/H0Y6HWJ3dy,4,stress,29549,2968,0.0,0.0
Cleveland Clinic,24236494,2017-05-18 02:10:00,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/bXmwDCX3Wm,109,stress,978658,991,-0.3,0.4
Real Marsha Wright,61608747,2017-05-15 02:06:03,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/cIKO54jEpH",108,depression,557745,424900,0.0,0.0
Cleveland Clinic,24236494,2017-05-14 16:59:00,3 reasons adult coloring helps relieve #stress and relax your brain: https://t.co/ny6ttdFmSG https://t.co/iePb3gf0U4,70,stress,978658,991,0.1,0.3
Real Marsha Wright,61608747,2017-05-17 12:26:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",29,stress,557745,424900,0.25,0.8
John Assaraf,31251832,2017-05-18 18:05:28,"Once each hour, #visualize for 1 min the goal you want to reach in the next hour. You'll experience greater #productivity with less #stress.",24,visualize,111766,27189,0.11111111111111112,0.18888888888888888
Ari Sytner M.Ed LMSW,37844996,2017-05-19 21:00:37,"When #stress levels are high, lower them by embracing #hope &amp;   knowing things will be better tomorrow. #life #faith",32,stress,195803,162520,0.33,0.52
Real Marsha Wright,61608747,2017-05-18 03:17:02,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/yGbj6cHskI",27,Depression,557745,424900,-0.390625,0.65625
