username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Isha Foundation,19190337,2017-05-22 07:00:50,"#Stress, @SadhguruJV says, happens due to inability to manage our inner situation, not from surroundings. https://t.co/sj0Te8e1kg",93,Stress,110190,7,-0.0625,0.2708333333333333
Real Marsha Wright,61608747,2017-05-23 15:22:00,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",17,stress,558206,426180,0.25,0.8
Real Marsha Wright,61608747,2017-05-24 04:52:02,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/in1tr5Uoc0",10,Depression,558206,426180,-0.390625,0.65625
Real Marsha Wright,61608747,2017-05-23 12:14:02,Dont approach today wearing yesterdays glasses #stress #empowerment #inspiration,12,stress,558206,426180,0.0,0.0
Mark C. Crowley,257581957,2017-05-23 20:30:34,"U. Of Birmingham research: The greater an employee's #autonomy, the greater their #engagement.
Interestingly, autonomy lowers #stress.
#HR",5,autonomy,126244,98790,0.5,0.5
Real Marsha Wright,61608747,2017-05-24 05:08:02,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/OPCtzBtv3X",6,depression,558206,426180,0.0,0.0
Cleveland Clinic,24236494,2017-05-18 02:10:00,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/bXmwDCX3Wm,109,stress,980477,991,-0.3,0.4
John Assaraf,31251832,2017-05-18 18:05:28,"Once each hour, #visualize for 1 min the goal you want to reach in the next hour. You'll experience greater #productivity with less #stress.",24,visualize,111798,27188,0.11111111111111112,0.18888888888888888
Ari Sytner M.Ed LMSW,37844996,2017-05-19 21:00:37,"When #stress levels are high, lower them by embracing #hope &amp;   knowing things will be better tomorrow. #life #faith",32,stress,196969,159238,0.33,0.52
Real Marsha Wright,61608747,2017-05-15 02:06:03,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/cIKO54jEpH",109,depression,558206,426180,0.0,0.0
Real Marsha Wright,61608747,2017-05-17 12:26:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",29,stress,558206,426180,0.25,0.8
