username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Mufti Ismail Menk,247653244,2017-05-03 06:30:19,A quiet person is not a weak person. He's strong in fact. He has struggles like all of us but he chooses not to stress others with it.,8178,None,1126450,0,0.20694444444444446,0.5638888888888888
Sadhguru,67611162,2017-05-04 02:45:07,"Meditation is the only way to freedom from stress as it is a dimension beyond the mind. All the stress and struggle are of the #mind.
#QOTD",711,mind,264452,1,0.0,1.0
AcneSkinSite,143014330,2017-05-04 01:45:04,"Glowing Skin Tips
Sleep
Exercise
Cleanse
Exfoliate
Moisturize
Avoid Toxins
Reduce Stress
Use Sunscreen
Feed Your Face
Drink Lemon Water",840,None,832180,6,0.0,0.0
christian delgrosso,840897602,2017-05-04 02:32:19,"Relax. Trust that everything is in the right order and you are right where you need to be. Don't chase, don't worry, don't stress. Just be.",780,None,1630315,94724,0.2857142857142857,0.5357142857142857
Maryam Rajavi,56961858,2017-05-03 17:41:41,"In D future #FreeIran,we stress on freedom of expression,complete freedom of D media, &amp;unconditional access of all 2cyberspace
#Pressfreedom",289,FreeIran,37587,46,0.0,0.125
THE RAPFEST,936028748,2017-05-03 17:47:18,".@ASHOKA_KDM Has ""No Stress"" On New Song

https://t.co/VYmjIMwJHb https://t.co/psjcmlwobw",51,None,42488,919,0.13636363636363635,0.45454545454545453
What The F*** Facts,352145373,2017-05-04 17:04:02,Playing with puppies and kittens has been proven to relieve stress and help students perform better on tests.,158,None,5846005,520,0.5,0.5
What The F*** Facts,352145373,2017-05-03 21:57:11,"Crying is good for your health - Flushing unhealthy bacteria out of your body, strengthening the immune system and relieving stress.",239,None,5846005,520,0.033333333333333305,0.6333333333333334
Tanner Braungardt,2466417612,2017-05-04 03:02:19,Filmed 4 really good vids today dont have to stress during florida trip tmr,241,None,181177,3739,0.7,0.6000000000000001
NHS Choices,10215212,2017-05-03 12:57:24,"Our youth mental health hub offers young people advice and help on depression, anxiety and stress:... https://t.co/870lsE9850",84,None,205930,5752,0.03333333333333333,0.20000000000000004
