username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Fleezus Christ,46328282,2017-05-01 18:44:01,"Finesse, Never Stress.",2701,None,150386,952,0.0,0.0
Fall Out Boy,16212952,2017-05-01 14:56:44,"chicago, we have a couple things for you in the future but not on this specific tour so don't stress about tickets today",566,None,2180572,11925,0.0,0.125
Futuristic™,68909267,2017-05-01 15:45:07,Don't stress over what you can't control.,892,None,101167,783,0.0,0.0
What The F*** Facts,352145373,2017-05-02 06:35:07,"Music helps reduce anxiety, as well as helps the mind and body cope with stress.",359,None,5843963,520,0.0,0.0
Kaveh Solhekol,2607361068,2017-05-02 21:17:52,Aaron Lennon receiving care &amp; treatment for stress-related illness. Everton supporting him. His family has appealed for privacy,197,None,63378,410,0.25,0.25
AcneSkinSite,143014330,2017-05-02 12:45:01,"Not getting enough sleep can cause stress, which leads to breakouts and a dull complexion. https://t.co/UMMTNBHw5I",218,None,831796,6,-0.14583333333333334,0.5
Jordan Wright,347514072,2017-05-02 19:47:18,Don't stress over what you can't control. Just let it be and focus on being happy,181,None,5470,1667,0.8,1.0
Iyanla Vanzant,27368199,2017-05-01 16:00:07,With a simple breath you can release stress and replace it with what you need. Take a moment right not to take a breath.,170,None,1427486,663,0.14285714285714285,0.4464285714285714
Sam Adeyemi,116915464,2017-05-02 09:52:22,2. The inability to delegate is a major weakness in leadership and it often results in stress for the leader. #Leadership,119,Leadership,362532,140,0.0625,0.5
Cleveland Clinic,24236494,2017-05-02 20:11:01,How stress impacts your immune system - and how to chill out: https://t.co/vcHUAo1PLq https://t.co/7z508BrwdU,88,None,936124,988,0.0,0.0
Cleveland Clinic,24236494,2017-05-02 12:39:00,3 reasons coloring can help relieve #stress and calm you. https://t.co/cDtdXH1k5J https://t.co/foEyB7t6mz,77,stress,936124,988,0.30000000000000004,0.75
David Ross,2835644036,2017-05-01 17:23:33,In honor @ARizzo44 dropping movie quotes during high stress moments we r going to throw down the best sci fi quotes... https://t.co/K4MfClPc8j,71,None,216121,250,0.33481481481481484,0.3762962962962963
Shannon Clermont,267545354,2017-05-03 03:30:41,I don't stress because I know God puts people in and out of my life for a reason,246,None,94924,845,0.0,0.0
tom harlock,105296447,2017-05-01 21:20:40,i moved house today and my cat is being chill about it and i'm so happy that was my only stress lmao,138,None,266246,893,0.4666666666666666,1.0
Carlton Reid,14284095,2017-05-01 23:02:46,"Licence to drive is privilege not a right, stress MPs. https://t.co/tHmgyvt4ly @allpartycycling https://t.co/erZCnnMqQ0",71,None,19809,3807,-0.14285714285714285,0.5357142857142857
Relationship ♡,89423854,2017-05-01 04:45:29,"Don't stress over what could've been, chances are if it should've been, it would've been, and would be.",811,None,4299048,2520,0.0,0.0
TIME,14293310,2017-05-01 11:15:19,This quick meditation helps you let go of stress and go to sleep https://t.co/CxdnMRaonJ,66,None,13791342,847,0.3333333333333333,0.5
