username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
What The F*** Facts,352145373,5/21/2017 5:03,"Crying is good for your health - Flushing unhealthy bacteria out of your body, strengthening the immune system and relieving stress.",356,None,5857465,523,0.033333333,0.633333333
AFP news agency,380648579,5/22/2017 7:30,Feline good: Cats counter stress at Tokyo firm https://t.co/XYNVIpOzuJ https://t.co/ZCGH4DgJQk,168,None,1102884,549,0.25,0.5
UberFacts,95023423,5/22/2017 1:17,"Physical touch makes you healthier. Studies show that massages, hugs, and hand-holding reduces stress and boosts the immune system.",429,None,13481848,1,0,0.142857143
UberFacts,95023423,5/22/2017 4:47,"Shopping releases endorphins that temporarily reduce stress, boost self-esteem, and moderate pain.",339,None,13481848,1,0,0.7
The Economist,5988062,5/21/2017 7:00,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/HzsOeTIH0p",427,None,20710674,159,0.16,0.54
UberFacts,95023423,5/22/2017 9:47,Cows have best friends and experience stress when removed from them.,258,None,13481848,1,1,0.3
AFP news agency,380648579,5/22/2017 12:14,Feline good? Cats help workaholic Japanese counter stress https://t.co/Xt55c2JRFr https://t.co/RFh1I6joPe,79,None,1102884,549,0.35,0.3
AcneSkinSite,143014330,5/20/2017 23:45,"Skin Tips
Sleep
Exercise
Cleanse
Exfoliate
Green Tea
Moisturize
Drink Water
Avoid Toxins
Reduce Stress
Use Sunscreen
Feed Your Face",443,None,835325,6,-0.2,0.3
Harvard Biz Review,14800270,5/22/2017 15:04,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/MGGUc0pL0s",153,None,4508855,195,-0.0625,0.2375
Soompi,17659206,5/21/2017 11:58,"Actress Chae Soo Bin Shares How She Deals With Stress And Hateful Comments
https://t.co/oJgYbLLsZb https://t.co/C3V1R1ecIN",111,None,1264688,3554,0,0
Scientific American,14647570,5/21/2017 0:00,"Being kind to yourself can bolster resilience, buffer against stress and improve relationships.  https://t.co/yhTRl84L0c",178,None,2725973,3876,0.6,0.9
Chuka Umunna,33300246,5/22/2017 14:00,"Whenever a Tory trots out their ""strong &amp; stable"" nonsense,remind them of today's #DementiaTax chaos causing untold stress to the elderly",135,DementiaTax,195911,1872,0.433333333,0.733333333
MarketWatch,624413,5/21/2017 3:45,"88% of people feel withdrawal symptoms without their phones, including frustration, stress and sadness, study finds... https://t.co/qVzW71mTP2",85,None,3390598,180,0,0
Isha Foundation,19190337,5/22/2017 7:00,"#Stress, @SadhguruJV says, happens due to inability to manage our inner situation, not from surroundings. https://t.co/sj0Te8e1kg",62,Stress,110095,7,-0.0625,0.270833333
Josh Zerker,147973743,5/21/2017 0:37,Last minute stress. Finalising everything.,116,None,948762,665,0,0.066666667
Retro Spectro,126336445,5/20/2017 14:38,Bless me don't stress me,1127,None,385742,397,0,0
Grayson Dolan,2156278138,5/19/2017 23:33,Everyone reading this have a great day. If something doesn't go your way don't stress out. Life is long. Nothing is as bad as it seems now,9387,None,2722812,17041,0.016666667,0.605555556
John McGrath,1536488724,5/20/2017 17:11,"Don't Stress
Get Busy choosing
To be joyful, it's your choice.

#Happiness
#joy #Gratitude
#WeekendWisdom #Believe https://t.co/kyvJumYaLs",95,Happiness,103338,78472,0.533333333,0.233333333
BBC News (World),742143,5/20/2017 12:31,Cats in the office: Stress relief or a furry nuisance? https://t.co/EjAC0rpayr,224,None,19716782,83,0,0
Climate Central,15463610,5/20/2017 13:57,"""I want to stress those numbers are probably underestimates"" is not a phrase you want to hear about Greenland melt https://t.co/Ln2XMWD0KV",193,None,65881,6190,0,0
What The F*** Facts,352145373,5/20/2017 13:53,"Chewing gum has been proven to increase a person's focus and improve their mood, while decreasing anxiety and stress.",241,None,5857465,523,0,0
AFP news agency,380648579,5/19/2017 18:10,A Japanese company is encouraging people to bring their cats to the office to help them cope with stress and fatigue https://t.co/EnA4RSNsyI,834,None,1102884,549,0,0
UberFacts,95023423,5/13/2017 18:17,Some people can wake up at the right time just by anticipating it--their bodies start producing stress hormones one hour before waking.,654,None,13481848,1,0.285714286,0.535714286
David Sirota,14855994,5/14/2017 19:47,The richest country in human history is making deliberate choices to keep its population under this form of stress https://t.co/9cVeeqxakH,682,None,80510,1922,0,0.1
AcneSkinSite,143014330,5/18/2017 1:45,"Breakouts on your chin = hormonal stress. Make sure to drink plenty of water, get good sleep, and find time each day to unwind and relax.",867,None,835325,6,0.6,0.744444444
Mayor of Los Angeles,17070113,5/20/2017 20:09,"It's a hot one. Remember to stay hydrated, L.A.! 

More [?] tips: https://t.co/rSfmR5mgTI #LAweather https://t.co/MrBIYYJnKO",16,LAweather,168600,310,0.40625,0.675
💔,167484753,5/15/2017 18:53,woke up stress free and blessed.,1423,None,430670,55,0.4,0.8
The Onion,14075928,5/14/2017 20:05,Constitution Rapidly Ages Another 100 Years From Stress Of Repeated Crises https://t.co/KAUNONhPxF https://t.co/wrLdsKZe5L,423,None,9909287,15,0,0
Harvard Biz Review,14800270,5/18/2017 12:08,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/Hc9r7fuu8C",289,None,4508855,195,-0.0625,0.2375
The Economist,5988062,5/20/2017 5:37,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/ssPN8DHs5p",559,None,20710674,159,0.16,0.54
Piyush Goyal Office,7.18E+17,5/13/2017 12:31,It is this philosophy of saving waste that PM @narendramodi articulates in his stress on sustainable lifestyles : @PiyushGoyal #UJALAinUK,175,UJALAinUK,30599,21535,-0.2,0
The Guardian,87818409,5/13/2017 16:15,Top economic adviser Mohamed El-Erian on global economy: 'We get signals that the system is under enormous stress' https://t.co/BI6FNonuZK,74,None,6494025,1112,0.175,0.4
Arianna Huffington,21982720,5/13/2017 13:25,Your memories are more useful than you think. https://t.co/dEf8hnJFdY,47,None,2684482,2714,0.4,0.25
Mohamed A. El-Erian,332617373,5/13/2017 16:55,"The conversation with the @guardian ... on the global #economy , politics and what lies ahead.  
https://t.co/wD8qzuq3Sv",50,economy,158470,747,0,0
SUCCESS magazine,46155808,5/13/2017 14:03,Use these 11 strategies for managing stress. https://t.co/yLeGAg5HjW https://t.co/5mrkfpg29b,29,None,270472,2974,0,0
MSF UK,14755475,5/13/2017 14:00,"On a migration route, children are exposed to levels of stress and violence that even adults cannot manage. Report:... https://t.co/VIMizrIuBH",17,None,36818,4709,0,0
Scottish Government,46650770,5/13/2017 16:07,"I @ShonaRobison: ""It's important to stress that there is no evidence to suggest patient data has been compromised""... https://t.co/HNi6itzHs0",26,None,93881,1045,0.4,1
Joseph N. Sanberg,2806253912,5/13/2017 13:06,Science is clear: Exposure to constant dangers of financial stress can actually change the human brain @TaraGarciaM https://t.co/YMInDjh8Xy,24,None,35833,760,0.02,0.183333333
#F U,1118941580,5/13/2017 12:33,Don't stress we on it https://t.co/PL75bPwe8D,16,None,42777,689,0,0
