username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Humza Yousaf,24069453,5/23/2017 11:52,"Would be wise for Editors to have a word with their staff - the next few days will be unbearable for some, they don... https://t.co/A3vj4lg6FL",196,None,55933,4108,0.166666667,0.333333333
Grayson Dolan,2156278138,5/19/2017 23:33,Everyone reading this have a great day. If something doesn't go your way don't stress out. Life is long. Nothing is as bad as it seems now,9654,None,2738178,17046,0.016666667,0.605555556
Shaun Robinson,22109106,5/24/2017 1:00,Working hard for something you don't care about is called Stress. Working hard for something you love is called Passion.,17,None,195380,703,-0.027777778,0.561111111
Retro Spectro,126336445,5/20/2017 14:38,Bless me don't stress me,1138,None,385992,396,0,0
Colby,2488576712,5/16/2017 16:03,"Meet new people. Start putting yourself out there, and move on. Don't stress over it, you stopped being friends for... https://t.co/Ku6eVGQPWR",350,None,112147,84,0.136363636,0.454545455
Hootsuite,17093617,5/22/2017 19:15,Still haven't figured out the hashtag? Don't stress  https://t.co/EO0pAAFlD1 The do's and don'ts of how to use has... https://t.co/oyBMWPTC2w,29,None,8091708,1548042,0,0
Paula White-Cain,27768807,5/17/2017 13:01,Don't let stress &amp; worry consume your day!! #PraiseGod #Worship your way through it!!,164,PraiseGod,519873,33574,0,0
Dr. Bilal Philips,304808873,5/20/2017 5:00,"Having complete #trust in Allah is such a stress reliever. Because when you don't get what you want, you just know... https://t.co/5IZ2Z2ejit",172,trust,394544,8,0.05,0.45
John McGrath,1536488724,5/20/2017 17:11,"Don't Stress
Get Busy choosing
To be joyful, it's your choice.

#Happiness
#joy #Gratitude
#WeekendWisdom #Believe https://t.co/kyvJumYaLs",96,Happiness,103883,77880,0.533333333,0.233333333
BEEZ,3031529655,5/18/2017 15:12,I can't do nothing for you. Don't stress over me.,125,None,56735,1169,0,0
Allie🐰,30243284,5/22/2017 15:27,"Me: I have so much to do and I don't know where to start. 

Coffee: Shhh. Don't stress, child. Sip and I will work... https://t.co/kHyCh7oRSw",31,None,38493,1189,0.2,0.2
Doreen Virtue,74924273,5/17/2017 9:00,"Gentle stretches are one of the best ways to disperse stress hormones, and to insure that you don't hold stress in your muscle memory.",64,None,147430,0,0.6,0.55
realtor.com,17351940,5/21/2017 0:02,Don't let the #homeinspection stress you out! Here are 7 essential things you need to know: https://t.co/1GAzM7d6Fn... https://t.co/xZrpPkAs2L,55,homeinspection,201934,491,0,0.3
Gary H Goodridge,287453721,5/18/2017 1:07,Life is too short to stress over people who don't even deserve to be an issue in your life.,63,None,83533,55166,0,0.3
YOURSMILE 😊,2392582350,5/17/2017 10:17,Don't stress your importance in the life of someone who doesn't see your worth.,59,None,69570,995,0.3,0.1
