username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
AcneSkinSite,143014330,2017-05-18 01:45:06,"Breakouts on your chin = hormonal stress. Make sure to drink plenty of water, get good sleep, and find time each day to unwind and relax.",828,None,834757,6,0.6,0.7444444444444445
What The F*** Facts,352145373,2017-05-18 16:45:09,"The average student experiences a 70% decrease in stress, anxiety and depression during the month of June.",359,None,5855817,523,-0.15,0.39999999999999997
What The F*** Facts,352145373,2017-05-19 01:53:00,"Music helps reduce anxiety, as well as helps the mind and body cope with stress.",317,None,5855817,523,0.0,0.0
Khalid,1852644804,2017-05-18 20:50:28,I'm adding a lot of extra dates on the tour but I'm not adding too many dates bc if I do I'm gonna stress myself out haha,304,None,352882,1175,0.2333333333333333,0.3
AcneSkinSite,143014330,2017-05-18 23:45:00,"Less Soda
Less Dairy 
Less Sugar 
Less Stress 
Less Picking 
Less Touching 
                               Fewer BREAKOUTS!",324,None,834757,6,-0.053571428571428555,0.12857142857142856
What The F*** Facts,352145373,2017-05-18 02:40:11,Stress actually makes you fat.,446,None,5855817,523,0.0,0.1
Fitness & Nutrition,479809444,2017-05-18 18:10:03,Stress tip https://t.co/SmAKsJNvCp,266,None,2860127,86,0.0,0.0
Harvard Biz Review,14800270,2017-05-18 23:06:06,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/EsieCtMv7i",207,None,4489380,195,-0.0625,0.2375
Lana Parrilla,129400817,2017-05-17 16:30:13,Found my favorite @GenexaHealth sleep and stress products at @cvspharmacy today! #herestoyourhealth... https://t.co/cr3jcZrVWU,365,herestoyourhealth,754254,721,0.625,1.0
Senator Tim Kaine,172858784,2017-05-17 14:00:13,"In this stress test of our American democracy, I predict the institutions will prove stronger than any individual. https://t.co/6bPdsqbcMS",461,None,545690,746,0.0,0.2
lauren ✄,380436513,2017-05-19 01:49:31,reading tweets about exam stress instantly takes me back to the dark university days,196,None,2593575,568,-0.049999999999999996,0.35555555555555557
Rachel Ballinger,468957900,2017-05-18 21:13:20,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",102,None,424192,4778,1.0,1.0
TV Guide,11350892,2017-05-18 20:01:33,#The100 finale will stress you out -- according to @LinzzMorgan https://t.co/hGb1yW4H2S https://t.co/IA5BMlDf41,120,The100,1137922,3820,0.0,0.0
loren gray,1268086088,2017-05-17 17:08:12,DONT STRESS you're going to do great :)) it's tough but U CAN DOOO IIITTT https://t.co/4YSXf3e4oQ,171,None,504075,2716,0.30370370370370375,0.8611111111111112
Paula White-Cain,27768807,2017-05-17 13:01:24,Don't let stress &amp; worry consume your day!! #PraiseGod #Worship your way through it!!,159,PraiseGod,519255,33366,0.0,0.0
Martin Lewis,252569527,2017-05-12 17:38:53,"To Drs, nurses, ambulance teams, admins and all in NHS who've had misery, stress, added workloads due to the hack. THANK YOU (RT if u agree)",6989,None,442770,500,-0.125,0.375
9GAG,16548023,2017-05-10 12:00:47,Stress is caused by giving a f*ck...,7404,None,9513365,10,0.0,0.0
NSPCC,38292671,2017-05-17 10:34:20,"If you notice your child is feeling overwhelmed with exam stress, #Chilldine has advice to help them cope:... https://t.co/DTlrQtLTBa",37,Chilldine,202890,3761,0.0,0.0
Mangel,122556667,2017-05-17 12:40:12,@Escironio Fidget Cube anti-stress,39,None,4401171,733,0.0,0.0
Tom Nuttall,16003760,2017-05-17 08:57:46,"Those beautiful, stress-free hours before America wakes up.",63,None,16666,818,0.85,1.0
YOURSMILE 😊,2392582350,2017-05-17 10:17:37,Don't stress your importance in the life of someone who doesn't see your worth.,59,None,69565,997,0.3,0.1
SalenaZito,16101182,2017-05-17 12:21:11,I cannot stress this enough. Theres a whole different world out there in white communities black community Hispanic... https://t.co/X39gJtV4Hc,29,None,35468,5210,0.0066666666666666706,0.38666666666666666
Real Marsha Wright,61608747,2017-05-17 12:26:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",29,stress,556236,422204,0.25,0.8
Doreen Virtue,74924273,2017-05-17 09:00:02,"Gentle stretches are one of the best ways to disperse stress hormones, and to insure that you don't hold stress in your muscle memory.",60,None,147238,0,0.6,0.55
Rick Wilson,19084896,2017-05-17 11:38:30,"Honestly, this level of stress is hard even for smart people. https://t.co/3zDUIGr8zT",34,None,163951,3256,0.17420634920634917,0.6948412698412699
What The F*** Facts,352145373,2017-05-17 02:19:03,Eating bananas is a natural cure to reduce the effects of stress and anxiety.,359,None,5855817,523,0.1,0.4
The Onion,14075928,2017-05-10 19:22:06,Constitution Rapidly Ages Another 100 Years From Stress Of Repeated Crises https://t.co/XBZzouCBax https://t.co/UbUZHlNgXT,1136,None,9906668,16,0.0,0.0
New Scientist,19658826,2017-05-17 06:06:10,"""No one becomes smarter under stress.The question really is who gets dumb faster."" https://t.co/734yXWqksF https://t.co/C0gzdzbFK7",136,None,2825601,74,-0.0875,0.35
Blue Zones,19684632,2017-05-17 12:20:12,"Studies show that ""thinking happy thoughts"" might actually work! #downshift https://t.co/8M8pqDuvFM",17,downshift,42331,1026,0.4,0.55
Sport England,168436555,2017-05-10 11:16:56,Boosted brain power. Reduced stress. Improved sleep. Being active is key to good #mentalhealth. RT... https://t.co/jDtyERJy1X,358,mentalhealth,92487,1898,0.18888888888888888,0.7333333333333334
Keza MacDonald,65356121,2017-05-10 11:39:07,I wrote about how games helped me through my first few months of motherhood for the Guardian. Includes cute pics.  https://t.co/VYqaEvtRUv,274,None,32393,916,0.18333333333333335,0.4777777777777778
The Dodo,1604444052,2017-05-10 05:57:03,"These animals, trapped in 'floating ovens', hardly have space to lie down
 https://t.co/4Lf1JlkgH8 https://t.co/Pt4SZZKcs1",181,None,269500,3151,-0.21574074074074076,0.27685185185185185
Heads Together,720960693097340928,2017-05-10 09:00:35,Have your children ever felt stress during exams? Here's some tips from @Place2Be on how you can help out: https://t.co/qL17pETYRh #MHAW17,45,MHAW17,45131,515,0.0,0.0
Doreen Virtue,74924273,2017-05-10 09:00:02,Stress is from believing that you must do everything alone. Peace is from knowing that God is with you every step of the way.,91,None,147238,0,0.0,0.0
shamarko thomas,138731187,2017-05-10 11:56:27,"Be grateful and be positive, because life is too short to always be worried. Let go of the stress and realize you're blessed",75,None,40401,688,0.11363636363636363,0.42272727272727273
NCIS,68795677,2017-05-10 11:15:06,The stress of the wedding takes its toll on Delilah. Grab your tissues and watch last night's emotional #NCIS:... https://t.co/EZj1k0Vy2U,50,NCIS,1040544,76,0.0,0.35833333333333334
Daily Mail Online,15438913,2017-05-10 09:41:01,Why some kids suffer extreme stress: Scientists discover 'depression gene' that takes effect in childhood https://t.co/vafXLpzqjc,49,None,1961919,2403,-0.125,1.0
Carl Bildt,18549724,2017-05-10 11:56:27,Constitutional order going through serious stress test after Trump firing of FBI Director in midst of Russia probes. https://t.co/elVUjHLgjQ,62,None,597934,2354,-0.3333333333333333,0.6666666666666666
سلطان سعود القاسمي,46744791,2017-05-10 06:29:48,"I was just thinking if one wants to live a healthy life how the entire system is rigged against them - food wise, socialising, stress &amp;c.",49,None,503713,4891,0.30727272727272725,0.525
CMO Maharashtra,2597666894,2017-05-10 07:54:34,While moving ahead we must stress more on quality improvement which will in turn lead India to grow as a power centre of adv technologies:CM,50,None,340082,50,0.5,0.5
World Economic Forum,5120691,2017-05-10 07:53:01,10 tips to manage stress https://t.co/UyLrPUZnfP @talentsmarteq https://t.co/cJCfCIPgiz,45,None,3078856,340,0.0,0.0
GuardianTeach,221702605,2017-05-10 07:35:00,Six tactics to help your students deal with stress https://t.co/yeWdMIOGxI,23,None,142570,6695,0.0,0.0
Climate Central,15463610,2017-05-09 22:25:03,"""I want to stress those numbers are probably underestimates"" is not a phrase you want to hear about Greenland melt... https://t.co/RnMe2tMfNO",33,None,65732,6190,0.0,0.0
Ruby Wax,20525731,2017-05-10 10:28:38,mental stress/ illness is physical illnesses causing obesity diabetes cancers heart disease-why are we so stupid? #MentalHealthAwarnessWeek,35,MentalHealthAwarnessWeek,122704,511,-0.3,0.44761904761904764
