username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Harvard Biz Review,14800270,2017-05-18 12:08:46,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/Hc9r7fuu8C",272,None,4491412,195,-0.0625,0.2375
AcneSkinSite,143014330,2017-05-18 01:45:06,"Breakouts on your chin = hormonal stress. Make sure to drink plenty of water, get good sleep, and find time each day to unwind and relax.",844,None,834800,6,0.6,0.7444444444444445
What The F*** Facts,352145373,2017-05-18 16:45:09,"The average student experiences a 70% decrease in stress, anxiety and depression during the month of June.",378,None,5855971,523,-0.15,0.39999999999999997
What The F*** Facts,352145373,2017-05-19 01:53:00,"Music helps reduce anxiety, as well as helps the mind and body cope with stress.",353,None,5855971,523,0.0,0.0
Khalid,1852644804,2017-05-18 20:50:28,I'm adding a lot of extra dates on the tour but I'm not adding too many dates bc if I do I'm gonna stress myself out haha,327,None,353598,1175,0.2333333333333333,0.3
AcneSkinSite,143014330,2017-05-18 23:45:00,"Less Soda
Less Dairy 
Less Sugar 
Less Stress 
Less Picking 
Less Touching 
                               Fewer BREAKOUTS!",379,None,834800,6,-0.053571428571428555,0.12857142857142856
Fitness & Nutrition,479809444,2017-05-18 18:10:03,Stress tip https://t.co/SmAKsJNvCp,299,None,2860281,86,0.0,0.0
What The F*** Facts,352145373,2017-05-18 02:40:11,Stress actually makes you fat.,449,None,5855971,523,0.0,0.1
lauren ✄,380436513,2017-05-19 01:49:31,reading tweets about exam stress instantly takes me back to the dark university days,252,None,2595428,568,-0.049999999999999996,0.35555555555555557
Rachel Ballinger,468957900,2017-05-18 21:13:20,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",107,None,424200,4785,1.0,1.0
Murray Newlands,21360280,2017-05-19 03:00:33,"If you can't handle stress then you won't manage success. 

#ThursdayThoughts
#Motivation https://t.co/nh1wm3ovdq",78,ThursdayThoughts,1615955,1335685,0.3,0.0
TV Guide,11350892,2017-05-18 20:01:33,#The100 finale will stress you out -- according to @LinzzMorgan https://t.co/hGb1yW4H2S https://t.co/IA5BMlDf41,140,The100,1137922,3820,0.0,0.0
Gautam Gambhir,99448420,2017-05-19 08:56:38,"I can assure you that after the stress &amp; tension I underwent during the SRH game, I feel like a worn out 70-year old
https://t.co/dekJ8Ly9Rx",147,None,3621958,90,-0.15000000000000002,0.30000000000000004
Gautam Gambhir,99448420,2017-05-19 09:13:15,"Karnataka gave us Mysore dosa besides a lot others.They can proudly add Chinnaswamy's drainage facility to the list.
https://t.co/dekJ8Ly9Rx",176,None,3621958,90,0.8,1.0
Gary H Goodridge,287453721,2017-05-18 01:07:33,Life is too short to stress over people who don't even deserve to be an issue in your life.,63,None,83253,55135,0.0,0.3
Climate Central,15463610,2017-05-17 23:03:01,"""I want to stress those numbers are probably underestimates"" is not a phrase you want to hear about Greenland melt... https://t.co/xNHON1llEm",39,None,65754,6190,0.0,0.0
Lana Parrilla,129400817,2017-05-17 16:30:13,Found my favorite @GenexaHealth sleep and stress products at @cvspharmacy today! #herestoyourhealth... https://t.co/cr3jcZrVWU,368,herestoyourhealth,754310,721,0.625,1.0
Martin Lewis,252569527,2017-05-12 17:38:53,"To Drs, nurses, ambulance teams, admins and all in NHS who've had misery, stress, added workloads due to the hack. THANK YOU (RT if u agree)",6999,None,442806,500,-0.125,0.375
9GAG,16548023,2017-05-10 12:00:47,Stress is caused by giving a f*ck...,7402,None,9515104,10,0.0,0.0
loren gray,1268086088,2017-05-17 17:08:12,DONT STRESS you're going to do great :)) it's tough but U CAN DOOO IIITTT https://t.co/4YSXf3e4oQ,174,None,504278,2721,0.30370370370370375,0.8611111111111112
Herbalife,11071292,2017-05-17 23:43:19,"Life in your 30s can be hectic, which can impact your eating habits. Combat stress eating with these tips #NWHW https://t.co/lTtuDQBw5G",39,NWHW,299045,527,0.0,0.0
Senator Tim Kaine,172858784,2017-05-17 14:00:13,"In this stress test of our American democracy, I predict the institutions will prove stronger than any individual. https://t.co/6bPdsqbcMS",461,None,545832,746,0.0,0.2
Wall Street Journal,3108351,2017-05-17 18:50:15,"Whimsical interior design, an antidote to stress, is taking off in 2017
https://t.co/OtjwHmgwTo",46,None,13972707,1069,-0.5,0.5
WebMD,25928253,2017-05-17 17:00:01,Chronic worry and emotional stress can trigger a number of health problems. Here's how to gain control:... https://t.co/Zw8olhuvwb,83,None,2042735,391,0.0,0.65
ANDREW W.K.,42744294,2017-05-17 15:01:01,PARTY TIP: Melt some cheese and you'll melt your stress.,213,None,332477,78159,0.0,0.0
The Onion,14075928,2017-05-10 19:22:06,Constitution Rapidly Ages Another 100 Years From Stress Of Repeated Crises https://t.co/XBZzouCBax https://t.co/UbUZHlNgXT,1137,None,9907514,17,0.0,0.0
The Economist,5988062,2017-05-13 04:09:36,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/fu8SvfkWzf",983,None,20668326,159,0.16,0.5399999999999999
UberFacts,95023423,2017-05-13 18:17:00,Some people can wake up at the right time just by anticipating it--their bodies start producing stress hormones one hour before waking.,633,None,13482547,1,0.2857142857142857,0.5357142857142857
David Sirota,14855994,2017-05-14 19:47:28,The richest country in human history is making deliberate choices to keep its population under this form of stress https://t.co/9cVeeqxakH,682,None,80423,1921,0.0,0.1
Sport England,168436555,2017-05-10 11:16:56,Boosted brain power. Reduced stress. Improved sleep. Being active is key to good #mentalhealth. RT... https://t.co/jDtyERJy1X,359,mentalhealth,92493,1898,0.18888888888888888,0.7333333333333334
Keza MacDonald,65356121,2017-05-10 11:39:07,I wrote about how games helped me through my first few months of motherhood for the Guardian. Includes cute pics.  https://t.co/VYqaEvtRUv,275,None,32394,916,0.18333333333333335,0.4777777777777778
Heads Together,720960693097340928,2017-05-10 09:00:35,Have your children ever felt stress during exams? Here's some tips from @Place2Be on how you can help out: https://t.co/qL17pETYRh #MHAW17,45,MHAW17,45157,515,0.0,0.0
Doreen Virtue,74924273,2017-05-10 09:00:02,Stress is from believing that you must do everything alone. Peace is from knowing that God is with you every step of the way.,91,None,147248,0,0.0,0.0
shamarko thomas,138731187,2017-05-10 11:56:27,"Be grateful and be positive, because life is too short to always be worried. Let go of the stress and realize you're blessed",75,None,40404,688,0.11363636363636363,0.42272727272727273
Daily Mail Online,15438913,2017-05-10 09:41:01,Why some kids suffer extreme stress: Scientists discover 'depression gene' that takes effect in childhood https://t.co/vafXLpzqjc,49,None,1962204,2403,-0.125,1.0
Carl Bildt,18549724,2017-05-10 11:56:27,Constitutional order going through serious stress test after Trump firing of FBI Director in midst of Russia probes. https://t.co/elVUjHLgjQ,62,None,598085,2356,-0.3333333333333333,0.6666666666666666
CMO Maharashtra,2597666894,2017-05-10 07:54:34,While moving ahead we must stress more on quality improvement which will in turn lead India to grow as a power centre of adv technologies:CM,50,None,340195,50,0.5,0.5
World Economic Forum,5120691,2017-05-10 07:53:01,10 tips to manage stress https://t.co/UyLrPUZnfP @talentsmarteq https://t.co/cJCfCIPgiz,45,None,3079131,340,0.0,0.0
Ruby Wax,20525731,2017-05-10 10:28:38,mental stress/ illness is physical illnesses causing obesity diabetes cancers heart disease-why are we so stupid? #MentalHealthAwarnessWeek,35,MentalHealthAwarnessWeek,122710,511,-0.3,0.44761904761904764
The Guardian,87818409,2017-05-10 08:44:05,How to play video games after having a baby https://t.co/PQix46MiHL,21,None,6489359,1112,0.0,0.0
