username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Grayson Dolan,2156278138,2017-05-19 23:33:01,Everyone reading this have a great day. If something doesn't go your way don't stress out. Life is long. Nothing is as bad as it seems now,9020,None,2713529,17042,0.01666666666666672,0.6055555555555555
Retro Spectro,126336445,2017-05-20 14:38:13,Bless me don't stress me,1042,None,385771,398,0.0,0.0
AFP news agency,380648579,2017-05-19 18:10:52,A Japanese company is encouraging people to bring their cats to the office to help them cope with stress and fatigue https://t.co/EnA4RSNsyI,797,None,1101053,549,0.0,0.0
BBC News (World),742143,2017-05-20 12:31:04,Cats in the office: Stress relief or a furry nuisance? https://t.co/EjAC0rpayr,214,None,19693382,83,0.0,0.0
The Economist,5988062,2017-05-20 05:37:50,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/ssPN8DHs5p",540,None,20687709,159,0.16,0.5399999999999999
What The F*** Facts,352145373,2017-05-20 06:04:02,"Being hungry causes serotonin levels to drop, causing a whirlwind of uncontrollable emotions such as anxiety, stress, anger and sadness.",430,None,5856551,523,-0.35,0.35
AcneSkinSite,143014330,2017-05-20 23:45:01,"Skin Tips
Sleep
Exercise
Cleanse
Exfoliate
Green Tea
Moisturize
Drink Water
Avoid Toxins
Reduce Stress
Use Sunscreen
Feed Your Face",364,None,834782,6,-0.2,0.3
What The F*** Facts,352145373,2017-05-21 05:03:03,"Crying is good for your health - Flushing unhealthy bacteria out of your body, strengthening the immune system and relieving stress.",224,None,5856551,523,0.033333333333333305,0.6333333333333334
What The F*** Facts,352145373,2017-05-19 19:43:02,"People who complain frequently through social media are more likely to suffer from stress, anxiety and some form of depression.",411,None,5856551,523,0.15833333333333333,0.4666666666666667
VANITY FAIR,15279429,2017-05-20 02:02:25,You are not alone if you're suffering from PTSD--President Trump Stress Disorder https://t.co/iwjMez7IN3,186,None,4561676,1151,0.0,0.0
What The F*** Facts,352145373,2017-05-20 13:53:01,"Chewing gum has been proven to increase a person's focus and improve their mood, while decreasing anxiety and stress.",221,None,5856551,523,0.0,0.0
Climate Central,15463610,2017-05-20 13:57:01,"""I want to stress those numbers are probably underestimates"" is not a phrase you want to hear about Greenland melt https://t.co/Ln2XMWD0KV",164,None,65812,6190,0.0,0.0
Scientific American,14647570,2017-05-21 00:00:09,"Being kind to yourself can bolster resilience, buffer against stress and improve relationships.  https://t.co/yhTRl84L0c",134,None,2717274,3876,0.6,0.9
Dr. Bilal Philips,304808873,2017-05-20 05:00:01,"Having complete #trust in Allah is such a stress reliever. Because when you don't get what you want, you just know... https://t.co/5IZ2Z2ejit",160,trust,393580,8,0.05,0.45
nature,487833518,2017-05-19 17:45:05,"Taking time off from work is crucial for avoiding stress and depression, and the potential consequences of burn-out... https://t.co/SicuqN6qBO",110,None,836240,97,0.0,1.0
Tay Jardine,17693277,2017-05-19 13:54:44,Why is it that seeing all these anti stress fidget toys make me stressed out?????,108,None,164667,332,0.0,0.0
Gautam Gambhir,99448420,2017-05-19 08:56:38,"I can assure you that after the stress &amp; tension I underwent during the SRH game, I feel like a worn out 70-year old
https://t.co/dekJ8Ly9Rx",171,None,3635355,90,-0.15000000000000002,0.30000000000000004
MarketWatch,624413,2017-05-19 12:26:28,"88% of people feel withdrawal symptoms without their phones, including frustration, stress and sadness, study finds... https://t.co/z96CvDIjY5",51,None,3389605,180,0.0,0.0
NHS Choices,10215212,2017-05-19 09:25:42,What are the five steps to mental wellbeing? Find out here: https://t.co/AuAmUskuzk #FridayFeeling https://t.co/8ZS1q1REPq,107,FridayFeeling,206811,5751,-0.1,0.2
Amer. Diabetes Assn.,23794763,2017-05-19 17:58:00,"Depression is a common #diabetes complication--could stress be the reason?
 https://t.co/qsir3HLTdS",15,diabetes,122318,1377,-0.3,0.5
New Scientist,19658826,2017-05-19 10:28:37,Young people have voted that Instagram is bad for mental health. Here's why being perfect online takes a mental tol... https://t.co/HhMbiQOUUZ,77,None,2829609,74,0.04000000000000003,0.49333333333333335
Business Insider,20562637,2017-05-19 15:04:28,Air traffic controllers are masters of handling stress -- here's how they do it https://t.co/4rx8hOFalS https://t.co/MdeqAbXgWL,29,None,1960528,179,0.0,0.0
The Kitchenista,164536190,2017-05-19 11:46:23,(Without victim blaming) it's so important to stress not leaving your child in the car. For any reason.,42,None,46875,1439,0.1625,0.525
Godolphin,277900216,2017-05-19 14:17:47,"Aftercare advocates stress owner responsibility, humane treatment at first IFAR conference https://t.co/g6zCnnqP6l https://t.co/OpIGcvco3W",18,None,49706,124,0.25,0.3333333333333333
Psychology Today,27726303,2017-05-19 13:01:00,Experiencing trauma and being traumatized are not the same thing. https://t.co/VbWdY52Gok,52,None,497335,975,0.0,0.125
Due,3120396510,2017-05-19 15:21:02,Entrepreneurs: Overcome Stress with these 8 Daily Life Hacks https://t.co/anoqgghUjC @MMarquit https://t.co/R2TqAJtukU,20,None,91577,89709,0.0,0.0
Real Marsha Wright,61608747,2017-05-19 17:15:06,"Live more, complain less. More smiles, less stress. Less hate, more blessed. - David Roads #quote",27,quote,556706,421179,0.04204545454545455,0.3875
Mo Ibrahim Fdn,271505240,2017-05-19 15:18:03,"By 2020, between 75-250m #Africans are projected to be exposed to increased #water stress due to #climatechange... https://t.co/lpmRxFeM42",28,Africans,67577,1317,-0.125,0.375
Gautam Gambhir,99448420,2017-05-19 09:10:22,"One part of me said you cannot fight nature. The other half shouted, ""Why KKR?""

https://t.co/dekJ8Ly9Rx",160,None,3635355,90,-0.14583333333333331,0.2708333333333333
Ericsson,19017255,2017-05-19 08:51:49,.@JasmetSeth says: Just 1 second delay in loading YouTube is enough to cause stress among millennials... https://t.co/7Edk2L9cEq,48,None,207276,217,0.0,0.25
What The F*** Facts,352145373,2017-05-19 01:53:00,"Music helps reduce anxiety, as well as helps the mind and body cope with stress.",376,None,5856551,523,0.0,0.0
The Economist,5988062,2017-05-13 04:09:36,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/fu8SvfkWzf",983,None,20687709,159,0.16,0.5399999999999999
UberFacts,95023423,2017-05-13 18:17:00,Some people can wake up at the right time just by anticipating it--their bodies start producing stress hormones one hour before waking.,651,None,13481886,1,0.2857142857142857,0.5357142857142857
David Sirota,14855994,2017-05-14 19:47:28,The richest country in human history is making deliberate choices to keep its population under this form of stress https://t.co/9cVeeqxakH,682,None,80473,1919,0.0,0.1
Soulja Boy (Draco),16827333,2017-05-12 18:56:38,"Don't cry over the past, it's gone. Don't stress about the future, it hasn't arrived. Live in the present and make it count.",639,None,5207231,324,-0.02840909090909091,0.21875
AcneSkinSite,143014330,2017-05-18 01:45:06,"Breakouts on your chin = hormonal stress. Make sure to drink plenty of water, get good sleep, and find time each day to unwind and relax.",859,None,834782,6,0.6,0.7444444444444445
Carter Reynolds,363961928,2017-05-12 18:43:36,"Surround yourself with those who bring out the best in you, not the stress in you",982,None,2909134,5098,1.0,0.3
AcneSkinSite,143014330,2017-05-18 23:45:00,"Less Soda
Less Dairy 
Less Sugar 
Less Stress 
Less Picking 
Less Touching 
                               Fewer BREAKOUTS!",406,None,834782,6,-0.053571428571428555,0.12857142857142856
Murray Newlands,21360280,2017-05-19 03:00:33,"If you can't handle stress then you won't manage success. 

#ThursdayThoughts
#Motivation https://t.co/nh1wm3ovdq",100,ThursdayThoughts,1617508,1339911,0.3,0.0
💔,167484753,2017-05-15 18:53:09,woke up stress free and blessed.,1395,None,430501,56,0.4,0.8
Harvard Biz Review,14800270,2017-05-18 12:08:46,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/Hc9r7fuu8C",285,None,4499423,195,-0.0625,0.2375
The Onion,14075928,2017-05-14 20:05:05,Constitution Rapidly Ages Another 100 Years From Stress Of Repeated Crises https://t.co/KAUNONhPxF https://t.co/wrLdsKZe5L,423,None,9908229,17,0.0,0.0
lauren ✄,380436513,2017-05-19 01:49:31,reading tweets about exam stress instantly takes me back to the dark university days,288,None,2604814,568,-0.049999999999999996,0.35555555555555557
Khalid,1852644804,2017-05-18 20:50:28,I'm adding a lot of extra dates on the tour but I'm not adding too many dates bc if I do I'm gonna stress myself out haha,336,None,357778,1177,0.2333333333333333,0.3
Martin Lewis,252569527,2017-05-12 17:38:53,"To Drs, nurses, ambulance teams, admins and all in NHS who've had misery, stress, added workloads due to the hack. THANK YOU (RT if u agree)",7016,None,442842,500,-0.125,0.375
Iyanla Vanzant,27368199,2017-05-12 16:00:07,"One of the greatest stress inducers in our lives is tomorrow, for it is the unknown.",188,None,1441033,667,0.45,0.8
Wall Street Journal,3108351,2017-05-12 02:45:10,"China's $1.7 trillion government-bond market is exhibiting a new sign of stress
https://t.co/zRU9i3MDPO",60,None,13981187,1069,0.13636363636363635,0.45454545454545453
New Scientist,19658826,2017-05-12 13:05:54,"""No one gets smarter under stress. The question is who gets dumb faster"" - Learn the strategies to survive disaster... https://t.co/GpFzRBYrQb",95,None,2829609,74,-0.375,0.5
TIME,14293310,2017-05-12 03:10:02,Do fidget spinners actually help with ADHD? Here's what the experts say https://t.co/dZ8gmN5oR9,70,None,13968458,846,0.0,0.1
NSPCC,38292671,2017-05-12 06:36:05,Exam stress is overwhelming thousands of children https://t.co/oLxOsxbyv1 https://t.co/86wEIK43a6,58,None,202922,3761,0.5,1.0
BBC News (UK),612473,2017-05-12 00:34:24,School exam stress sparks rise in child counselling https://t.co/eF7wNBYRxX,72,None,8241745,100,0.0,0.0
Climate Central,15463610,2017-05-12 10:10:01,"""I want to stress those numbers are probably underestimates"" is not a phrase you want to hear about Greenland melt... https://t.co/ZArz2G1YnX",45,None,65812,6190,0.0,0.0
Spain,18241502,2017-05-12 06:08:07,"Green meadows, fresh air, quiet atmosphere... Take a break in #Potes and forget about stress and the #city!... https://t.co/U9tbLfZv98",49,Potes,266077,24788,0.033333333333333326,0.37777777777777777
Randall Arsenault,575451034,2017-05-12 15:19:07,"When stopped at an intersection and your light turns green, look both ways before proceeding. Trust me, I can't stress this enough.",41,None,23789,17892,0.06666666666666667,0.5
Oxford University,48289662,2017-05-12 13:01:56,Tetris used to prevent post-traumatic stress symptoms https://t.co/0D2OenOLSJ #MentalHealthAwarenessWeek https://t.co/JhmQK9jaMz,31,MentalHealthAwarenessWeek,360205,636,0.0,0.0
Real Marsha Wright,61608747,2017-05-12 00:17:05,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/Sb6WSf2pKL",46,Depression,556706,421179,-0.390625,0.65625
Crooks and Liars,14513611,2017-05-12 03:35:05,"In the age of Trump, we all need stress management! https://t.co/kUmzXZzgyP",17,None,70267,449,0.0,0.0
Joanne Harris,131223120,2017-05-12 16:21:10,"A very incompetent POTUS
Had trouble in keeping afloatus
When meeting the Press, he showed signs of stress
(Oh, &amp; he lost the popular votus)",56,None,50305,942,-0.01833333333333335,0.5255555555555556
Everytown,250386727,2017-05-11 23:34:01,Gut wrenching: Photo essay shows the daily struggle of living with gun violence for many in Ferguson and St. Louis https://t.co/AU3P21YISr,38,None,95838,7890,0.25,0.25
Stephanie Ortiz,1649155946,2017-05-11 23:59:45,"Guys, don't stress over what to get your wife for Mother's Day; she'll make it sound way more thoughtful &amp; generous on Facebook anyway.",28,None,16722,1325,0.43333333333333335,0.4666666666666666
Jasmin Mujanović,161507331,2017-05-11 23:46:19,Stress being placed on US constitutional govt by this admin is unprecedented. Rule of law cannot long survive this degree of sabotage.,21,None,16746,620,0.27499999999999997,0.65
