username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Senator Tim Kaine,172858784,2017-05-17 14:00:13,"In this stress test of our American democracy, I predict the institutions will prove stronger than any individual. https://t.co/6bPdsqbcMS",450,None,544904,746,0.0,0.2
AcneSkinSite,143014330,2017-05-18 01:45:06,"Breakouts on your chin = hormonal stress. Make sure to drink plenty of water, get good sleep, and find time each day to unwind and relax.",531,None,834238,6,0.6,0.7444444444444445
What The F*** Facts,352145373,2017-05-17 02:19:03,Eating bananas is a natural cure to reduce the effects of stress and anxiety.,355,None,5856637,523,0.1,0.4
Lana Parrilla,129400817,2017-05-17 16:30:13,Found my favorite @GenexaHealth sleep and stress products at @cvspharmacy today! #herestoyourhealth... https://t.co/cr3jcZrVWU,328,herestoyourhealth,753718,721,0.625,1.0
What The F*** Facts,352145373,2017-05-18 02:40:11,Stress actually makes you fat.,332,None,5856637,523,0.0,0.1
Colby,2488576712,2017-05-16 16:03:50,"Meet new people. Start putting yourself out there, and move on. Don't stress over it, you stopped being friends for... https://t.co/Ku6eVGQPWR",333,None,111134,84,0.13636363636363635,0.45454545454545453
Swami Paramtej,219316125,2017-05-17 02:29:50,Concepcion Del Uruguay(Argentina)declares #Aol programs of city interest to help people reduce Violence/Stress &amp; in... https://t.co/UjIJVSfGc0,105,Aol,25332,137,0.0,0.0
Jasper Stuyven,95913848,2017-05-16 15:16:45,No stress for me on the TT day so had time for some fun with @KimTiebergyn and @tdwsport. #JaspergoesItaly #Giro100... https://t.co/DhxYCnrZKk,90,JaspergoesItaly,17086,352,0.3,0.2
New Scientist,19658826,2017-05-17 06:06:10,"""No one becomes smarter under stress.The question really is who gets dumb faster."" https://t.co/734yXWqksF https://t.co/C0gzdzbFK7",135,None,2824477,74,-0.0875,0.35
Slate,15164565,2017-05-17 01:05:09,Donald Trump is a stress test for democracy and we are failing: https://t.co/5ikukYop0I https://t.co/HWHVMtlzyH,99,None,1735442,594,0.0,0.0
AcneSkinSite,143014330,2017-05-16 10:45:01,"By going to bed a little earlier and fighting stress with exercise, you'll begin to see an improvement in your complexion.",430,None,834238,6,-0.09375,0.5
loren gray,1268086088,2017-05-17 17:08:12,DONT STRESS you're going to do great :)) it's tough but U CAN DOOO IIITTT https://t.co/4YSXf3e4oQ,150,None,503094,2702,0.30370370370370375,0.8611111111111112
Maris Kreizman,102807848,2017-05-17 00:18:01,"""So, puppy, what do you want to do with our girls' night in? 
Drink some vodka and stress refresh Twitter?
I was hoping you'd say that!""",115,None,20290,2241,0.0,0.0
Slate,15164565,2017-05-16 20:32:53,Donald Trump is a stress test for democracy and we are failing: https://t.co/xdnsrA1khv https://t.co/EmHaKciZv0,105,None,1735442,594,0.0,0.0
Paula White-Cain,27768807,2017-05-17 13:01:24,Don't let stress &amp; worry consume your day!! #PraiseGod #Worship your way through it!!,140,PraiseGod,519080,33328,0.0,0.0
