username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
💔,167484753,2017-05-15 18:53:09,woke up stress free and blessed.,1007,None,430345,56,0.4,0.8
The Economist,5988062,2017-05-16 02:28:48,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/UG0mDvyzN7",386,None,20630381,159,0.16,0.5399999999999999
AcneSkinSite,143014330,2017-05-16 10:45:01,"By going to bed a little earlier and fighting stress with exercise, you'll begin to see an improvement in your complexion.",337,None,833944,6,-0.09375,0.5
NHS Choices,10215212,2017-05-15 10:15:06,"#GCSEs start today. Parents and carers, there are things you can do to help your child beat exam stress. Our tips:... https://t.co/2sV1Y5KVvZ",78,GCSEs,206624,5751,0.0,0.0
Colby,2488576712,2017-05-16 16:03:50,"Meet new people. Start putting yourself out there, and move on. Don't stress over it, you stopped being friends for... https://t.co/Ku6eVGQPWR",216,None,110868,84,0.13636363636363635,0.45454545454545453
What The F*** Facts,352145373,2017-05-15 06:04:04,Music has been proven to effectively lower stress hormone levels.,218,None,5856694,523,0.6,0.8
David Sirota,14855994,2017-05-14 19:47:28,The richest country in human history is making deliberate choices to keep its population under this form of stress https://t.co/9cVeeqxakH,653,None,80289,1917,0.0,0.1
Luke Mitchell,395192468,2017-05-15 13:23:41,"The #Blindspot Season Finale is this week &amp;
THINGS happen... MANY THINGS!! I can't stress that enough.
Don't miss i... https://t.co/hgA3d8q0Ey",150,Blindspot,259714,337,0.390625,0.5
The Onion,14075928,2017-05-14 20:05:05,Constitution Rapidly Ages Another 100 Years From Stress Of Repeated Crises https://t.co/KAUNONhPxF https://t.co/wrLdsKZe5L,419,None,9901825,15,0.0,0.0
Forbes,91478624,2017-05-15 19:15:01,"How to use mindfulness to fix your brain, reduce stress and boost performance https://t.co/GUreNS9Ckn https://t.co/MrZNDxnnyi",128,None,12700364,5542,0.0,0.0
