username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Rajdeep Sardesai,56304605,2017-05-23 05:14:38,"Sober mature coverage of awful Manchester terror attack by BBC  is lesson for us: even in times of high stress, put sense above sensation!",627,None,6121136,492,-0.128,0.388
NSPCC,38292671,2017-05-23 09:02:34,"Following the attack in Manchester, your child may feel upset or anxious. #Childline has info:... https://t.co/429omMFjQW",1103,Childline,203122,3759,-0.125,0.55
Relationship ♡,89423854,2017-05-24 01:45:17,"I love sleep. You forget about pain, problems, stress, everything for a while.",1255,None,4336393,2524,0.5,0.6
Sam Sykes,79309628,2017-05-23 01:18:30,"In times of great fear or stress, it is best to help someone.",1536,None,18627,600,0.9,0.525
Harvard Biz Review,14800270,2017-05-23 02:05:04,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/VTURVdSQNZ",258,None,4519715,195,-0.0625,0.2375
Joseph Prince,22000517,2017-05-23 00:01:41,Live life God's way--without stress and strife! Trust Him to provide everything that you need (see Ps 23:1 NLT).,321,None,341304,4,0.17045454545454544,0.5
Moscato Michael,100020413,2017-05-23 02:21:53,People shouldn't have to fear for their lives when attending a concert! It should be a release from stress and a time of fellowship!,440,None,175324,229,0.0,0.0
Khalil Underwood,2667913824,2017-05-23 02:03:53,NO STRESS ALL SUMMER 2017,257,None,264566,89560,0.0,0.0
NSPCC,38292671,2017-05-23 11:49:04,"Following the Manchester attack, your child may have questions. #Childline has info: https://t.co/KqcWatrPhZ https://t.co/7icbWWTFbB",174,Childline,203122,3759,0.0,0.1
Humza Yousaf,24069453,2017-05-23 11:52:02,"Would be wise for Editors to have a word with their staff - the next few days will be unbearable for some, they don... https://t.co/A3vj4lg6FL",183,None,55923,4108,0.16666666666666666,0.3333333333333333
UberFacts,95023423,2017-05-22 09:47:06,Cows have best friends and experience stress when removed from them.,312,None,13481470,1,1.0,0.3
Chuka Umunna,33300246,2017-05-22 14:00:39,"Whenever a Tory trots out their ""strong &amp; stable"" nonsense,remind them of today's #DementiaTax chaos causing untold stress to the elderly",195,DementiaTax,196143,1872,0.4333333333333333,0.7333333333333333
AFP news agency,380648579,2017-05-22 12:14:00,Feline good? Cats help workaholic Japanese counter stress https://t.co/Xt55c2JRFr https://t.co/RFh1I6joPe,85,None,1106016,549,0.35,0.30000000000000004
AFP news agency,380648579,2017-05-22 07:30:15,Feline good: Cats counter stress at Tokyo firm https://t.co/XYNVIpOzuJ https://t.co/ZCGH4DgJQk,189,None,1106016,549,0.24999999999999997,0.5
UberFacts,95023423,2017-05-22 04:47:00,"Shopping releases endorphins that temporarily reduce stress, boost self-esteem, and moderate pain.",380,None,13481470,1,0.0,0.7
