username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
What The F*** Facts,352145373,2017-05-21 05:03:03,"Crying is good for your health - Flushing unhealthy bacteria out of your body, strengthening the immune system and relieving stress.",356,None,5857465,523,0.033333333333333305,0.6333333333333334
AFP news agency,380648579,2017-05-22 07:30:15,Feline good: Cats counter stress at Tokyo firm https://t.co/XYNVIpOzuJ https://t.co/ZCGH4DgJQk,168,None,1102884,549,0.24999999999999997,0.5
UberFacts,95023423,2017-05-22 01:17:00,"Physical touch makes you healthier. Studies show that massages, hugs, and hand-holding reduces stress and boosts the immune system.",429,None,13481848,1,0.0,0.14285714285714285
UberFacts,95023423,2017-05-22 04:47:00,"Shopping releases endorphins that temporarily reduce stress, boost self-esteem, and moderate pain.",339,None,13481848,1,0.0,0.7
The Economist,5988062,2017-05-21 07:00:53,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/HzsOeTIH0p",427,None,20710674,159,0.16,0.5399999999999999
UberFacts,95023423,2017-05-22 09:47:06,Cows have best friends and experience stress when removed from them.,258,None,13481848,1,1.0,0.3
AFP news agency,380648579,2017-05-22 12:14:00,Feline good? Cats help workaholic Japanese counter stress https://t.co/Xt55c2JRFr https://t.co/RFh1I6joPe,79,None,1102884,549,0.35,0.30000000000000004
AcneSkinSite,143014330,2017-05-20 23:45:01,"Skin Tips
Sleep
Exercise
Cleanse
Exfoliate
Green Tea
Moisturize
Drink Water
Avoid Toxins
Reduce Stress
Use Sunscreen
Feed Your Face",443,None,835325,6,-0.2,0.3
Harvard Biz Review,14800270,2017-05-22 15:04:10,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/MGGUc0pL0s",153,None,4508855,195,-0.0625,0.2375
Soompi,17659206,2017-05-21 11:58:16,"Actress Chae Soo Bin Shares How She Deals With Stress And Hateful Comments
https://t.co/oJgYbLLsZb https://t.co/C3V1R1ecIN",111,None,1264688,3554,0.0,0.0
Scientific American,14647570,2017-05-21 00:00:09,"Being kind to yourself can bolster resilience, buffer against stress and improve relationships.  https://t.co/yhTRl84L0c",178,None,2725973,3876,0.6,0.9
Chuka Umunna,33300246,2017-05-22 14:00:39,"Whenever a Tory trots out their ""strong &amp; stable"" nonsense,remind them of today's #DementiaTax chaos causing untold stress to the elderly",135,DementiaTax,195911,1872,0.4333333333333333,0.7333333333333333
MarketWatch,624413,2017-05-21 03:45:01,"88% of people feel withdrawal symptoms without their phones, including frustration, stress and sadness, study finds... https://t.co/qVzW71mTP2",85,None,3390598,180,0.0,0.0
Isha Foundation,19190337,2017-05-22 07:00:50,"#Stress, @SadhguruJV says, happens due to inability to manage our inner situation, not from surroundings. https://t.co/sj0Te8e1kg",62,Stress,110095,7,-0.0625,0.2708333333333333
Josh Zerker,147973743,2017-05-21 00:37:04,Last minute stress. Finalising everything.,116,None,948762,665,0.0,0.06666666666666667
Retro Spectro,126336445,2017-05-20 14:38:13,Bless me don't stress me,1127,None,385742,397,0.0,0.0
Grayson Dolan,2156278138,2017-05-19 23:33:01,Everyone reading this have a great day. If something doesn't go your way don't stress out. Life is long. Nothing is as bad as it seems now,9387,None,2722812,17041,0.01666666666666672,0.6055555555555555
John McGrath,1536488724,2017-05-20 17:11:10,"Don't Stress
Get Busy choosing
To be joyful, it's your choice.

#Happiness
#joy #Gratitude
#WeekendWisdom #Believe https://t.co/kyvJumYaLs",95,Happiness,103338,78472,0.5333333333333333,0.2333333333333333
BBC News (World),742143,2017-05-20 12:31:04,Cats in the office: Stress relief or a furry nuisance? https://t.co/EjAC0rpayr,224,None,19716782,83,0.0,0.0
Climate Central,15463610,2017-05-20 13:57:01,"""I want to stress those numbers are probably underestimates"" is not a phrase you want to hear about Greenland melt https://t.co/Ln2XMWD0KV",193,None,65881,6190,0.0,0.0
What The F*** Facts,352145373,2017-05-20 13:53:01,"Chewing gum has been proven to increase a person's focus and improve their mood, while decreasing anxiety and stress.",241,None,5857465,523,0.0,0.0
AFP news agency,380648579,2017-05-19 18:10:52,A Japanese company is encouraging people to bring their cats to the office to help them cope with stress and fatigue https://t.co/EnA4RSNsyI,834,None,1102884,549,0.0,0.0
UberFacts,95023423,2017-05-13 18:17:00,Some people can wake up at the right time just by anticipating it--their bodies start producing stress hormones one hour before waking.,654,None,13481848,1,0.2857142857142857,0.5357142857142857
David Sirota,14855994,2017-05-14 19:47:28,The richest country in human history is making deliberate choices to keep its population under this form of stress https://t.co/9cVeeqxakH,682,None,80510,1922,0.0,0.1
AcneSkinSite,143014330,2017-05-18 01:45:06,"Breakouts on your chin = hormonal stress. Make sure to drink plenty of water, get good sleep, and find time each day to unwind and relax.",867,None,835325,6,0.6,0.7444444444444445
Mayor of Los Angeles,17070113,2017-05-20 20:09:22,"It's a hot one. Remember to stay hydrated, L.A.! 

More [?] tips: https://t.co/rSfmR5mgTI #LAweather https://t.co/MrBIYYJnKO",16,LAweather,168600,310,0.40625,0.675
💔,167484753,2017-05-15 18:53:09,woke up stress free and blessed.,1423,None,430670,55,0.4,0.8
The Onion,14075928,2017-05-14 20:05:05,Constitution Rapidly Ages Another 100 Years From Stress Of Repeated Crises https://t.co/KAUNONhPxF https://t.co/wrLdsKZe5L,423,None,9909287,15,0.0,0.0
Harvard Biz Review,14800270,2017-05-18 12:08:46,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/Hc9r7fuu8C",289,None,4508855,195,-0.0625,0.2375
The Economist,5988062,2017-05-20 05:37:50,"33 countries face extremely high water stress by 2040, according to the World Resources Institute https://t.co/ssPN8DHs5p",559,None,20710674,159,0.16,0.5399999999999999
