"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @MathCoachCorner: Live more, complain less.
More smiles, less stress.
Less hate, more blessed.

- David Roads #quote",FALSE,0,NA,2017-06-05 06:17:04,FALSE,NA,"871611812046753792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MelodyNabors",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3202937630/b39d77d66ae0e2c3e1442214d74e36a6_normal.jpeg"
"2","I don't wanna workkkkk I have no day offs LOL GG even tho they're short shifts the amt of pressure and stress each shift is crazy.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096>",FALSE,0,NA,2017-06-05 06:17:03,FALSE,NA,"871611806539579392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chocoxpandas",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/867042297229320192/AA4BvgV9_normal.jpg"
"3","RT @RodriguezThaGod: I'd be hype as fuck my girl tryna cheer me up, she catchin all kinds of stress strokes too https://t.co/euoYJkDwsQ",FALSE,0,NA,2017-06-05 06:17:02,FALSE,NA,"871611803150819328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Move_Vaughn",280,TRUE,FALSE,NA,NA,"East Baltimore","en","http://pbs.twimg.com/profile_images/868253376445915137/_tM8LJSJ_normal.jpg"
"4","RT @bishnoikuldeep: Spend more time with people who bring out the best in you, not the stress in you. Good morning <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,0,NA,2017-06-05 06:17:02,FALSE,NA,"871611802307764224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitsha66555924",174,TRUE,FALSE,NA,NA,"Panipat","en","http://pbs.twimg.com/profile_images/855990856133861377/_IGkF2rq_normal.jpg"
"5","RT @TwtLelaki: men aren’t as steady as it seems. bila lelaki stress, we are more eager to take risks. masa tu lah decision making berfungsi.",FALSE,0,NA,2017-06-05 06:17:00,FALSE,NA,"871611793952489473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SenseiOKI",20,TRUE,FALSE,NA,NA,"Kuala Lumpur","en","http://pbs.twimg.com/profile_images/861743730792906752/C7eV9MPY_normal.jpg"
"6","RT @bishnoikuldeep: Spend more time with people who bring out the best in you, not the stress in you. Good morning <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,0,NA,2017-06-05 06:16:55,FALSE,NA,"871611774943903745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sanjays85599155",174,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"7","@beccatilley5 My sister went to the doctor for the same thing this week. They said it could just be stress related… https://t.co/pAX35CF218",FALSE,0,"beccatilley5",2017-06-05 06:16:53,TRUE,"871610904923611138","871611766580445185","31047270","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatMasterEmily",0,FALSE,FALSE,NA,NA,"Utah, USA","en","http://pbs.twimg.com/profile_images/868595653701550080/GXnM9-Ij_normal.jpg"
"8","RT @ohteenquotes: I love sleep. You forget about pain, problems, stress, everything for a while.",FALSE,0,NA,2017-06-05 06:16:50,FALSE,NA,"871611752332611585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheMishaland",1940,TRUE,FALSE,NA,NA,"France","fr","http://pbs.twimg.com/profile_images/711214683244650496/npIqPuh3_normal.jpg"
"9","RT @csapkota: Large fiscal transfer to local bodies could be an asset or a liability (fiscal stress). Depends on how its managed. https://t…",FALSE,0,NA,2017-06-05 06:16:50,FALSE,NA,"871611751694860289",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mnrijal",3,TRUE,FALSE,NA,NA,"Tokyo; Nepal, Kathmandu; Gulmi","en","http://pbs.twimg.com/profile_images/806299729155870720/k-4XLADm_normal.jpg"
"10","I Do Yoga to Relieve Stress, Just Kidding I Drink Wine in Yoga Pants t-shirt / thug life https://t.co/HLTDdihLV3",FALSE,0,NA,2017-06-05 06:16:47,FALSE,NA,"871611740722794496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChandlerLYH",0,FALSE,FALSE,NA,NA,"Cincinnati, OH","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"11","RT @DevonOhara: @ItsKey_70sbaby @docrocktex26 @_Jordan_J_ @Shareblue Whoever is doing that study on Post Trump Traumatic Stress better be w…",FALSE,0,NA,2017-06-05 06:16:47,FALSE,NA,"871611739204231168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","docrocktex26",1,TRUE,FALSE,NA,NA,"Houston, TX","en","http://pbs.twimg.com/profile_images/792431540143697922/VrNOi_FD_normal.jpg"
