"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 06:35:38,FALSE,NA,"871616485705236484",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Madison_Elder01",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/871228364278734848/QbepM95w_normal.jpg"
"2","I'm really stressed yet excited about this stupid class starting tomorrow lmao",FALSE,0,NA,2017-06-05 06:35:37,FALSE,NA,"871616481041108992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","l_clarkson",0,FALSE,FALSE,NA,NA,"Texas","en","http://pbs.twimg.com/profile_images/866642720793788417/qy5GMt3G_normal.jpg"
"3","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 06:35:37,FALSE,NA,"871616478918852608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarlaBastar",10994,TRUE,FALSE,NA,NA,"Cdmx","en","http://pbs.twimg.com/profile_images/871283234339930113/KTPmJ3M6_normal.jpg"
"4","stressed bc CHI CHI is THE bop of the year (so far) thanks to azealia banks https://t.co/JeUfUAnwbq https://t.co/qIZU9xU1o6",FALSE,0,NA,2017-06-05 06:35:34,FALSE,NA,"871616468848451584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ultrasilenx",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/865699596156248064/BIt0kmHM_normal.jpg"
"5","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 06:35:30,FALSE,NA,"871616451903279109",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","novved17",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/851717355574919168/FiVi0Jfg_normal.jpg"
"6","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 06:35:26,FALSE,NA,"871616434740318208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LiI_Rhodey",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/866515513127710720/0fcWfXw1_normal.jpg"
"7","RT @iSipmedicine: I see myself in 10 years.....heartbroken.....
stressed.....depressed but Im putting ice on it<ed><U+00A0><U+00BD><ed><U+00B2><U+008E><ed><U+00A0><U+00BD><ed><U+00B2><U+008E><ed><U+00A0><U+00BD><ed><U+00B2><U+008E>",FALSE,0,NA,2017-06-05 06:35:22,FALSE,NA,"871616418055245824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nochill1196",788,TRUE,FALSE,NA,NA,"texas","en","http://pbs.twimg.com/profile_images/870831838788411393/Iel1dT0P_normal.jpg"
"8","Been sleeping so much because I'm so stressed... Cause if I'm up I'm not doing nothing but thinking about my problems.",FALSE,0,NA,2017-06-05 06:35:22,FALSE,NA,"871616417032007680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsTricey_",0,FALSE,FALSE,NA,NA,"STL","en","http://pbs.twimg.com/profile_images/871485298055802880/oohu1xWS_normal.jpg"
"9","@taylorswift533: Stressed? Burned out? Need a holiday? Check our amzng #CapeTown train #holidays! #LoveCapeTown https://t.co/U8mOYmWa8Y",FALSE,0,"taylorswift533",2017-06-05 06:35:19,FALSE,NA,"871616404499435520","866251499059400705","<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","SouthAfricaRail",0,FALSE,FALSE,NA,NA,"Book online at","en","http://pbs.twimg.com/profile_images/474992577305784320/Y_pMe3LM_normal.png"
"10","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 06:35:14,FALSE,NA,"871616384773439488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliisonZavala",10994,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/867484953835167745/7W0_jABU_normal.jpg"
