username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Brandon Stanton,237548529,6/1/17 22:59,"""I don't think I'm going to miss eighth grade. It's been a tough year. A lot of my friends are struggling with depr... https://t.co/bmvzrFBBGN",1124,None,673405,382,-0.388888889,0.833333333
Eva Gutowski,1079108184,6/1/17 3:54,Depression is diagnosed by a doctor and can be helped. Its not a sad twitter joke. Its not a relateable tweet. Stop joking and start helping,1271,None,3280459,2868,0.25,1
so sad today,624953558,6/1/17 4:43,it's my depression and i'll do what i want with it,1143,None,480434,1456,0,0
Sam Womack,214008323,5/31/17 10:39,After struggling with my dads suicide- I applaud all the people standing up and talking about depression and mental illness @MindCharity #;,319,None,247885,441,-0.1,0.2
Astro AWANI,497665754,6/1/17 7:43,"#AWANInews #HariIni8 More than a third of teenage girls experience depression, new study says... https://t.co/DQEV3UMawL",81,AWANInews,1291238,232,0.159090909,0.238636364
What The F*** Facts,352145373,6/1/17 4:04,Singing when tensed helps you avoid anxiety and depression.,218,None,5863168,523,0,0
What The F*** Facts,352145373,5/31/17 14:41,"Daydreaming is good for your brain -- It makes you more creative but in some cases, it can cause depression.",201,None,5863168,523,0.566666667,0.7
Psychology Today,27726303,6/1/17 14:32,"People with ""smiling depression"" can be extremely high functioning, which can make it hard for them to get help. https://t.co/ZVWAmvKtbK",85,None,499388,975,-0.065833333,0.540833333
Samaritans,404248209,5/31/17 14:04,"'Depression is so much more than sadness. It's more insidious than that, and more consuming.' https://t.co/w0956E3b9e",96,None,84193,2343,0.5,0.5
The Weather Channel,20998647,6/1/17 3:11,Tropical Depression Two-E is expected to become a tropical storm and make landfall in southern Mexico late Thursday... https://t.co/5wznTLFXzC,66,None,2828352,6362,-0.133333333,0.333333333
UberFacts,95023423,6/1/17 0:47,Neuroscientists claim that they've developed a blood test that could help with early diagnosis of depression and schizophrenia.,140,None,13480365,1,0.1,0.3
REVOLT TV,16259251,6/1/17 5:00,Prayers up  @AugustAlsina got real about his battle with depression &amp; liver disease #PositiveVibesONLY #watchREVOLT https://t.co/u2C0dyxdDv,87,PositiveVibesONLY,198651,112,0.2,0.3
Courtney Enlow,15138822,6/1/17 15:45,"My depression has never tried to kill me. Instead, it makes me want to disappear entirely. And for none of you to r... https://t.co/WMKZAdZQjC",73,None,4869,1353,0,0.625
Siobhan Thompson,266696379,6/1/17 7:34,"NATURAL DEPRESSION CURES:-go outside-exercise-hang with friends-you don't have friends??-what's wrong with you-no you can't be my frie",82,None,46503,940,-0.133333333,0.45
