username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
"Andrew Weil, M.D.",41866944,2017-05-31 19:55:05,Practicing mindfulness #meditation may help keep you #focused https://t.co/cO6dudm9Mf Even as little as 10 minutes can help.,207,meditation,654812,176,-0.1875,0.5
Adam Weinstein,20725994,2017-05-31 18:08:08,"Rebecca Solnit's deep, searching meditation on l'temps de Trump is worth reading in its entirety, but this is wow... https://t.co/Z9G1YY6nqD",170,None,33762,3394,0.13333333333333333,0.5
Kiran Bedi,68977380,2017-06-01 12:35:33,"This is Raj Nivas staff in an @ishafoundation course. 
The Dinning room converted to double up as a meditation hall... https://t.co/DpotSwENCG",117,None,9307136,314,0.0,0.0
David Oyedepo Min.,232428933,2017-06-01 11:34:38,"It's not enough to be a reader, you must also be a thinker. You must be given to the genuine art of meditation,... https://t.co/8brIV1GKBb",51,None,110863,22,0.2,0.5
Warp Records,21999730,2017-06-01 19:30:04,Brian Eno's 'Reflection' will be used in meditation sessions at David Lynch's Festival Of Disruption https://t.co/i09ZCURLbZ,20,None,225646,666,0.0,0.0
nprmusic,13784592,2017-05-31 15:21:24,"Big Thief's ""Mary"" is a meditation on resilience that ""feels like crying and laughing at the same time.""... https://t.co/GZZ1FFxibq",20,None,580684,935,-0.06666666666666667,0.27499999999999997
Maria Popova,9207632,2017-06-01 16:29:06,"Ode to a Flower - Richard Feynman's timeless meditation on knowledge and mystery, animated https://t.co/IgelhgjT5L https://t.co/qT5Xv9VJ0W",22,None,739907,297,0.0,0.0
Bruce Van Horn,57497901,2017-06-01 03:42:17,"Be transformed by the renewing of your mind. ~ Romans 12:2
#Transformation #Meditation #Prayer https://t.co/uus4c4esc6",16,Transformation,508733,224580,0.0,0.0
BFBS,28893696,2017-05-31 16:33:51,On The #BigWedShow joining @JAYJAMES &amp; @mike_howarth is Meditation Guru @JodyShield! Want some tips to calm the min... https://t.co/58Zm5P7SiA,17,BigWedShow,23998,649,0.30000000000000004,0.75
"Andrew Weil, M.D.",41866944,2017-05-31 14:10:18,A deceptively simple #breathingexercise for a focused #meditation: https://t.co/sZy4Jfd8Dk,28,breathingexercise,654812,176,0.0,0.35714285714285715
Makarand R Paranjape,717220465262075909,2017-05-31 04:16:10,"""Fighting not good. But if you must fight, Win."" Read @TheJaggi's meditation (mediation?) on ethics of victory: https://t.co/KM6V8el7Aa",42,None,6828,46,0.22500000000000003,0.5
Well+Good,50292966,2017-05-31 06:00:16,This 5 minute meditation will de-stress your mind: https://t.co/DrtY980mPC,19,None,91770,1817,0.0,0.0
Yoga Journal,7235292,2017-05-31 16:26:35,This gentle Sun Salutation really gets your energy flowing. #prana #yogaflow  https://t.co/G2OcklODH5 https://t.co/6MVesTyyAI,24,prana,968431,333,0.2,0.5
MediaCityUK,372259374,2017-06-01 09:27:57,Please join @HolisticMCR today at 6pm on our piazza in a group meditation to breathe strength back into our beautif... https://t.co/HdVv14zEoQ,9,None,47811,2242,0.0,0.0
FITNESS Magazine,14562016,2017-06-01 15:02:03,7 Stress-Relief Tips Meditation Experts Swear Actually Work https://t.co/XAYUkWHqHp https://t.co/f6qNwhc9VC,14,None,1301302,430,0.0,0.1
Sri Sri Ravi Shankar,61126132,2017-05-28 16:31:59,Meditation &amp; interaction with over 1000 participants attending the Happiness Program at MLR convention center in Ba... https://t.co/x4Ex6qYh23,1596,None,1861261,0,0.3,0.15000000000000002
Sri Sri Ravi Shankar,61126132,2017-05-27 11:26:52,"Today,we'll be joined in live meditation from schools,hospitals,prisons across Africa.6.30pmIST/3pmCAT https://t.co/pzJrXTkDLL #AfricaDay(2)",985,AfricaDay,1861261,0,0.13636363636363635,0.5
New Delhi Times,1220875086,2017-05-30 11:25:22,"Perseverance: Never Give Up
https://t.co/Wz8DLDC7cQ
#Spirituality #Meditation #Brahmakumari https://t.co/9ck6VyKGMS",1044,Spirituality,444187,124,0.0,0.0
Maria Popova,9207632,2017-05-30 23:34:40,"Duck, Death, and the Tulip - an uncommonly tender German illustrated meditation on the cycle of life... https://t.co/WBPa1Ut4FE",63,None,739907,297,0.4,0.5
