username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Jill Lawrence,47415772,5/31/17 0:27,".@CNN says Trump is home alone, stressed out, gaining weight, realizing job isn't good fit for him. https://t.co/MGftsHHT87",4007,None,12182,1863,0.55,0.5
Money,205789121,6/1/17 15:25,Millennials spend a big part of their work day stressed out by their finances https://t.co/8TosxoGKMo,98,None,365600,1404,0,0.1
Shay Mitchell,21219827,5/31/17 3:48,VERY STRESSED OUT RN WITH THESE PHONE CALLS BUT MAINLY BC LUCAS IS MAKING A MESS OF THE DESK,212,None,3557533,630,0.063888889,0.269444444
The Independent,16973333,6/1/17 6:32,"Donald Trump is stressed out, isolated and gaining weight, says new report https://t.co/rIEyUq6CSI",45,None,2233417,1125,0.136363636,0.454545455
The Independent,16973333,5/31/17 12:59,"Donald Trump is 'stressed out, isolated and gaining weight' https://t.co/rIEyUq6CSI",35,None,2233417,1125,0,0
SPECIALK _ÙÑø,18892596,5/23/17 23:27,Lmao my mom stressed me tf out during finals https://t.co/KvO8DK7LM1,3569,None,308800,9802,0.6,1
UN Refugee Agency,14361155,5/31/17 14:49,Find out how our staff on the frontline prepare for a refugee crisis https://t.co/FIWWkSJRAs https://t.co/KOgNBfHspG,22,None,2145243,37457,0,0
FREDDY,61003804,5/26/17 2:48,when ur extremely stressed out but u keep a positive attitude bc u kno this too shall pass https://t.co/jUZnPC0XHQ,3055,None,3972215,551541,0.051136364,0.772727273
Aidan Alexander,32676327,5/30/17 17:21,will i ever not be stressed out,645,None,218574,560,0,0
sebastian olzanski,1631128196,5/26/17 18:29,"seein so many of you sad &amp; stressed out, i'm telling you. its gonna be ok. i got my crappy weeks too, tomorrow's a new day. love you",840,None,444647,18234,0.227272727,0.610909091
AcneSkinSite,143014330,5/26/17 3:45,"Why You're Breaking Out!Bad DietLacking SleepNever CleanseSuper StressedToo Much SugarHormones ChangingAllergic/Sensitive To Gluten",593,None,836070,6,-0.055555556,0.511111111
Danielle,2384553998,5/31/17 1:50,I can't remember the last time I was this stressed out,24,None,98152,201,0,0.066666667
Law and Order: SVU,28211427,5/25/17 1:58,RETWEET if you are really stressed out right now.  #SVU #BensonsDilemma,277,SVU,902094,396,0.242857143,0.367857143
BBC Earth,70725281,5/26/17 14:02,Can a swimming sloth make you less stressed? Find out: https://t.co/wpsoQLfv3m https://t.co/DeiNQNiWzP,120,None,357418,2641,-0.166666667,0.066666667
