username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Laurence Tribe,4091551984,2017-05-16 02:26:19,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",263,None,124308,1050,0.2857142857142857,0.5357142857142857
Katya,175180732,2017-05-14 20:09:59,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,703,MothersDay,253917,740,1.0,0.3
Reno Omokri,264248576,2017-05-15 12:52:19,"The economy is bad, people are stressed, suicide is on the rise. Dont pressure your debtors. Don't push them. Corpses can't repay debts.",167,None,177542,65,-0.6999999999999998,0.6666666666666666
NSPCC,38292671,2017-05-15 08:23:25,"If your child is feeling stressed in the lead up to exam season, #Chilldine has advice to help them cope:... https://t.co/znwBEIPnid",72,Chilldine,202654,3761,0.0,0.0
Sopan Deb,48120914,2017-05-16 02:02:50,I could be in a hostage situation and I wouldn't be more stressed than I am right now.,76,None,165658,4608,0.39285714285714285,0.5178571428571428
NPR,5392522,2017-05-15 12:43:01,"A nap can't substitute for a good night's sleep, but it certainly can help, say sleep specialists https://t.co/ud5GhNsvKU",95,None,6965459,72543,0.45714285714285713,0.5857142857142857
Vogue Magazine,136361303,2017-05-16 04:47:11,6 ways to sleep when you're stressed: https://t.co/Ckebep55b2,42,None,12777398,530,0.0,0.0
Jack Xatzinikolas,512554477,2017-05-15 08:15:00,"Also have a 7 year old on the verge of a breakdown over his SATs - screaming, sobbing, panicking, stressed, why do they do this to kids?!!",36,None,99465,8041,0.15625,0.2
Chicago Fire,570279813,2017-05-14 18:30:06,"We're already stressed, and it isn't even Tuesday. #ChicagoFire https://t.co/3Efio28faJ",203,ChicagoFire,379686,908,0.0,0.0
Jeremy Cliffe,465965880,2017-05-15 17:46:36,"5/ Also, Merkel's openness to treaty change, which she pointedly stressed they had discussed, potentially a big moment.",45,None,40725,2153,0.0,0.1
FutureFemaleLeaders,624849630,2017-05-14 13:45:14,"Stressed *calls mom*
Happy *calls mom*
Anxious *calls mom*
Sad *calls mom*
Excited *calls mom*
Annoyed *calls mom*

Happy #MothersDay!",596,MothersDay,49605,452,0.1708333333333333,0.9249999999999999
Lonely Planet,15066760,2017-05-16 05:05:07,#Cincinnati airport is now home to these adorable mini-horses to help stressed passengers https://t.co/YcEvLtklif https://t.co/Y2HZ2zaviW,33,Cincinnati,5559776,686695,0.5,1.0
