username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
SPECIALK 🗯,18892596,2017-05-23 23:27:58,Lmao my mom stressed me tf out during finals https://t.co/KvO8DK7LM1,2264,None,309009,9717,0.6,1.0
Rick Wilson,19084896,2017-05-23 01:58:06,"The Trump trolls are out in force tonight. Either that Bitcoin payment went through, or they're feeling stressed.",650,None,166601,3265,0.0,0.0
Krishnan Guru-Murthy,17062358,2017-05-22 11:07:42,"""nothing has changed! nothing has changed!"" says increasingly stressed looking Theresa May",444,None,449412,3508,0.0,0.0
Shannon Coulter,7019512,2017-05-23 21:54:02,"You sound stressed, Sean. You stressed? https://t.co/OjVZecegVm",160,None,58337,19902,0.4,0.4
King Wolfie,136651187,2017-05-24 00:05:21,sorry about the vlogs being posted late lately  been a little stressed lately,257,None,569668,2236,-0.3175,0.66
BuzzFeed,5695632,2017-05-22 15:34:32,"This college student brought her puppy, Bailey, to school to cheer up her stressed classmates https://t.co/vHnkYcqkbJ",244,None,5182540,3118,0.0,0.0
Cleveland Clinic,24236494,2017-05-23 16:20:01,"Breathe deep. A full, deep breath makes your lungs &amp; chest send signals to your brain and you feel calmer.... https://t.co/eOANxDh6x8",76,None,980477,991,0.11666666666666665,0.45
Mental Health Fdn,80294798,2017-05-22 17:54:00,"If you're stressed with work, have you tried mindfulness? If not, give it a go with our 3-min breathing exercise: https://t.co/2NHuFPuxwI",97,None,120570,4612,0.0,0.0
James Charles,1117786405,2017-05-23 02:37:44,i don't have an outfit for tomorrow yet and i'm stressed,109,None,204777,851,0.0,0.0
CM of Karnataka,2713703797,2017-05-23 10:16:27,Fortunate to have spent time with HH the Dalai Lama today. He stressed the importance of Karuna in our daily life. https://t.co/jt6pFiCSLi,64,None,117453,537,0.10000000000000002,0.26666666666666666
Cleveland Clinic,24236494,2017-05-23 16:00:02,"Acupressure is a complementary treatment to acupuncture without needles.
Try this if you're stressed:... https://t.co/4l7nfrIdbz",18,None,980477,991,0.0,0.0
Jemaine Clement,23578176,2017-05-23 01:33:49,Don't be stressed out. https://t.co/LpiiPILadx,57,None,185485,1393,0.0,0.0
Emily Canham,353304204,2017-05-22 15:02:54,I need an iced coffee!!! I get so stressed when people are running late ,37,None,265018,312,-0.3,0.6
د.رياض حجاب,4196168301,2017-05-23 11:14:22,Process of political transition must be made in accordance with UN mediation in Geneva - I stressed in meeting with... https://t.co/Akldh13Vyx,17,None,69257,16,0.0,0.1
TIME,14293310,2017-05-22 11:20:08,The most stressed-out states in America https://t.co/DoyrR812vF,43,None,13996047,848,0.5,0.5
Mac,23065354,2017-05-19 22:36:37,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,10389,None,6469203,1215,0.2,0.3
TIME,14293310,2017-05-22 05:15:10,This map shows where people are the most stressed in America https://t.co/B7PQ5yrMr6,62,None,13996047,848,0.5,0.5
Mama Dragun,412221236,2017-05-21 20:06:12,"I'm too grateful to be hateful. 
I'm too blessed to be stressed.",1013,None,83033,88,0.0,0.0
Islamic Online Univ.,166590761,2017-05-22 07:00:04,Worried? Sad? Depressed? Stressed? Let's pray it all away. In sujood we'll find the greatest comfort &amp; feel our sou... https://t.co/1U7QAFd8Jd,35,None,61332,43,0.25,1.0
