username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
SPECIALK 🗯,18892596,2017-05-23 23:27:58,Lmao my mom stressed me tf out during finals https://t.co/KvO8DK7LM1,3306,None,309021,9717,0.6,1.0
Rick Wilson,19084896,2017-05-23 01:58:06,"The Trump trolls are out in force tonight. Either that Bitcoin payment went through, or they're feeling stressed.",651,None,166749,3268,0.0,0.0
Nooruddean,176754253,2017-05-24 14:40:59,"This can't be stressed enough. It's not just his father dying, it's watching his health deteriorate over time. That... https://t.co/srO6l9kZDq",154,None,80002,1669,0.0,0.5
Shannon Coulter,7019512,2017-05-23 21:54:02,"You sound stressed, Sean. You stressed? https://t.co/OjVZecegVm",178,None,58391,19908,0.4,0.4
King Wolfie,136651187,2017-05-24 00:05:21,sorry about the vlogs being posted late lately  been a little stressed lately,344,None,570103,2236,-0.3175,0.66
Cleveland Clinic,24236494,2017-05-23 16:20:01,"Breathe deep. A full, deep breath makes your lungs &amp; chest send signals to your brain and you feel calmer.... https://t.co/eOANxDh6x8",83,None,982066,994,0.11666666666666665,0.45
CM of Karnataka,2713703797,2017-05-23 10:16:27,Fortunate to have spent time with HH the Dalai Lama today. He stressed the importance of Karuna in our daily life. https://t.co/jt6pFiCSLi,72,None,117584,537,0.10000000000000002,0.26666666666666666
James Charles,1117786405,2017-05-23 02:37:44,i don't have an outfit for tomorrow yet and i'm stressed,110,None,204962,854,0.0,0.0
Cleveland Clinic,24236494,2017-05-23 16:00:02,"Acupressure is a complementary treatment to acupuncture without needles.
Try this if you're stressed:... https://t.co/4l7nfrIdbz",21,None,982066,994,0.0,0.0
Lindsay MacDonald,2805954792,2017-05-24 17:58:23,"I don't think I've ever been more stressed out than when watching tonight's #The100. This finale is everything, guys.",40,The100,1866,615,0.5,0.5
د.رياض حجاب,4196168301,2017-05-23 11:14:22,Process of political transition must be made in accordance with UN mediation in Geneva - I stressed in meeting with... https://t.co/Akldh13Vyx,17,None,69280,16,0.0,0.1
