,username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
0,PMO India,471741741,5/2/17 12:27,PM stressed on the need for the Foreign Service officers to be extremely well informed and think with a global perspective.,288,None,17746386,384,-0.083333333,0.375
1,Fox News,1367531,5/2/17 20:59,WATCH: Veterinarian Serenades Frightened Pup Before Surgery | (via @foxhollowvet) | Read more:... https://t.co/h0GhOfAfRX,601,None,14365488,438,0.5,0.5
2,UberFacts,95023423,5/3/17 11:47,Research shows that college students who run regularly don't get as stressed during exams as their non-running peers.,169,None,13486387,1,0,0.076923077
3,Desus Nice,14594844,5/2/17 0:45,"i'd be wild stressed at the met gala like ""damn theres definitely gonna be an uber surge after this i better leave early""",504,None,375748,1236,0.175,0.425
4,TED Talks,15492359,5/3/17 15:29,This is what goes on inside the body when we are chronically stressed: https://t.co/GiNsuJlTg9 via @TED_ED,81,None,9807345,509,0,0
5,Paddy Power,14387275,5/2/17 19:11,"I get stressed out by the lowercase ""i"" on the back of Modric's shirt: https://t.co/gAyM6F4hIF",90,None,625041,2983,0,0
6,Her Campus,65576332,5/2/17 12:59,When you're stressed but then you remember that @PLLTVSeries is back on tonight  https://t.co/CtRtgOZacA,74,None,40599,2609,0,0
7,Cleveland Clinic,24236494,5/2/17 20:11,How stress impacts your immune system - and how to chill out: https://t.co/vcHUAo1PLq https://t.co/7z508BrwdU,104,None,937782,988,0,0
8,Telegraph Football,2219897472,5/3/17 6:10,"Exclusive interview: 'Liverpool tapping-up row has made me sad and stressed,' says schoolboy at centre of scandal https://t.co/ZGpj56FrfM",20,None,230717,471,-0.5,1
9,Presidential Comm,192849591,5/2/17 8:44,"PDEA DG Isidro Lapena, on his presentation during the #RealNumbersPH forum, stressed the negative impact of the dru... https://t.co/UExBS37Gf6",32,RealNumbersPH,132477,459,-0.3,0.4
10,Sputnik,34262462,5/2/17 16:14,".@mod_russia @hrw .@mod_russia stressed that  KhAB-250 bomb which was allegedly used in #Syria, wasn't designed to... https://t.co/LtxQ7gpvFi",19,Syria,186205,276,-0.1,0.1
11,ANI,355989081,5/3/17 7:42,Preventive healthcare needs to be stressed on. We all have to decide and pledge 'Mai gandagi nahin karunga': PM Mod... https://t.co/RJ18hzyuKb,32,None,1916896,0,0.2,0.4
12,Zakk Wylde,28718939,5/3/17 4:40,"STRESSED OUT??? NOT ANYMORE!!!After You Pleasurably SMASH Your Genitals into JOYOUS SUBMISSION,Lay Down w/This Blan... https://t.co/eJzaXTY3JZ",27,None,597932,2816,-0.155555556,0.288888889
13,Press Trust of India,245687754,5/3/17 14:28,#Cabinet gives nod to mechanism for resolution of stressed assets of banks; details to be announced after Prez approval: @arunjaitley.,15,Cabinet,1449887,1,0,0
14,yung _™•_menace,16264006,4/27/17 16:00,Stressed. lets go.,3425,None,5174019,408,0,0
15,Harrison Mooney,345567714,5/1/17 22:41,"Facebook will be going to therapy, I think? https://t.co/x86CB6eNCo https://t.co/VCtPdbpnpm",50,None,13935,1008,0,0
16,FREDDY,61003804,4/28/17 1:36,friend: u comin out??,,,,,,
,,,,,,,,,,
me: I should stay in tonight I'm so stressed,,,,,,,,,,
,,,,,,,,,,
friend: ya ok i understand,,,,,,,,,,
,,,,,,,,,,
me: UGHH ok u convinced me I'll come ,,,,,,,,,,
,,,,,,,,,,
friend:,1790,None,3964789,550160,0.5,0.5,,,,
17,Lili Reinhart,307426028,4/28/17 4:21,I was so stressed out about not being able to live tweet the memes... but I hope they sufficed and I'll be back on my game next week. ,857,None,278046,351,0.047272727,0.305
18,USA TODAY,15754281,5/1/17 16:25,Americans just broke a record for being stressed. Here's how to reverse the trend https://t.co/sytCgmKgvl,82,None,3317876,918,0,0
19,James Charles,1117786405,4/27/17 6:38,me 100% of the time: *is stressed*,840,None,197752,643,0,0
20,Al Jazeera English,4970411,4/25/17 7:29,Feeling stressed? You might need to visit one of Russia's 'Rage Rooms'. https://t.co/rfbvUKAFpX,276,None,3867752,223,0,0
21,Joseph Prince,22000517,4/27/17 18:07,"Feeling stressed? Instead of focusing on the situation, see the Lord's greater and never-ending supply of grace in your areas of need!",393,None,338360,4,0.625,0.5
22,99goonsquad,3128003877,4/30/17 17:09,stop focusing on how stressed you are and remember how blessed you are. Good afternoon goonies!,303,None,214311,9932,0.875,0.6
23,Miss Mulatto,184970791,5/1/17 0:10,Too blessed to be stressed ,308,None,75961,876,0,0
24,Psychology Today,27726303,5/1/17 19:18,Companion dogs are more highly stressed than we humans realize. https://t.co/lB1Gmislah,17,None,494142,975,0.33,0.52
25,Dr. Bilal Philips,304808873,4/30/17 5:00,Worried? Sad? Depressed? Stressed? Let's pray it all away. In sujood we'll find the greatest comfort &amp; feel our sou... https://t.co/aKJ0oefmGm,214,None,387844,7,0.25,1
26,Shankar Chaudhary,1617123242,4/27/17 14:18,Joined the @BJP4Gujarat Banaskantha district executive meeting and stressed about the importance of efforts and har... https://t.co/KLpB7vx2me,218,None,43939,154,0,0
27,Ellen DeGeneres,15846407,4/27/17 21:23,.@KimKardashian is stressed about @KanyeWest's birthday. https://t.co/s3R6O0zj40 https://t.co/f2gp2JNoHI,199,None,67267012,36132,0,0
28,Daniel Preda,46764346,4/28/17 20:15,Realized how happy I felt in a place where service  &amp; social media wasn't within easy reach for me. Already stressed being back in the USA ,177,None,172945,409,0.316666667,0.475
29,Lindsey Graham,432895323,4/24/17 16:50,"I stressed the need for UN reform, an end to Israel bashing, and more accountability for UN peacekeeping. (2/4)",24,None,185624,2215,0.5,0.5
30,chippy,195951022,4/25/17 2:47,STRESSED OUT FROM BEING REAL IN A FAKE WORLD,32,None,23823,2480,-0.75,1
0,Krishnan Guru-Murthy,17062358,5/22/17 11:07,"""nothing has changed! nothing has changed!"" says increasingly stressed looking Theresa May",378,None,449105,3495,0,0
1,Mama Dragun,412221236,5/21/17 20:06,I'm too grateful to be hateful. ,,,,,,
,,,,,,,,,,
I'm too blessed to be stressed.,892,None,82692,88,0,0,,,,
2,PRINCETON PEREZ,1421475978,5/21/17 3:29,2 blessed 2 be stressed,563,None,160182,624,0,0
3,Twitter Moments,3260518932,5/21/17 15:32,"In his speech to the Muslim world, President Trump stressed the need to fight terrorism and extended US support. https://t.co/xkAfXNVYZU",535,None,407392,11,0,0
4,ARMAAN MALIK,298917410,5/21/17 6:05,Look at me not so stressed about it  #auckland #PrinceAM #SKYWALK https://t.co/xeizBfoUjI,463,auckland,226978,1265,0,0
5,BuzzFeed,5695632,5/22/17 15:34,"This college student brought her puppy, Bailey, to school to cheer up her stressed classmates https://t.co/vHnkYcqkbJ",170,None,5171927,3118,0,0
6,Wesley Stromberg,196955859,5/21/17 22:00,Too blessed to be stressed,207,None,733062,34960,0,0
7,TIME,14293310,5/22/17 5:15,This map shows where people are the most stressed in America https://t.co/B7PQ5yrMr6,62,None,13980181,846,0.5,0.5
8,The Voice,216444984,5/22/17 1:02,In case you're feeling stressed about the impending work week. #TheVoice https://t.co/dTHU9cf2Gy,49,TheVoice,4980894,9680,0,0
9,Cameron Boucher,64666168,5/21/17 1:16,i mean id be hella stressed if i had to log onto my insta via a 2008 blackberry too https://t.co/y6XwtrQyPR,139,None,10969,903,-0.3125,0.6875
10,TIME,14293310,5/22/17 11:20,The most stressed-out states in America https://t.co/DoyrR812vF,40,None,13980181,846,0.5,0.5
