created,text,retwc,hashtag,followers,friends
5/5/2017 3:06,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (10) https://t.co/aCWo0PLoj7',33,CHANI,3220,286
5/5/2017 3:06,b'So stress out right now!',0,None,249,264
5/5/2017 3:06,b'RT @sydneyt98: Can not stress how important it is to say whats on your mind. There is nothing more mentally exhausting than holding somethi\xe2\x80\xa6',7,None,706,305
5/5/2017 3:06,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (11) https://t.co/3pJugNGHTk',48,CHANI,3220,286
5/5/2017 3:06,b'RT @SadhguruJV: Meditation is the only way to freedom from stress as it is a dimension beyond the mind. All the stress and struggle are of\xe2\x80\xa6',712,None,383,432
5/5/2017 3:06,b'today i relieved stress by pretending to be batman on the computer and taking nudes',0,None,4198,994
5/5/2017 3:06,"b'RT @fuckyoucarlo: all i care about is money, why would I stress over u?'",412,None,363,289
5/5/2017 3:06,"b""RT @playgirljay: i wanna hear oomf vent to me \xf0\x9f\x98\xad all his issues everything that's happened to him. like lemme be ya stress reliever baby""",413,None,556,372
5/5/2017 3:06,"b'RT @medschooladvice: Tips to getting stress balanced: force urself to take time for just u. Do something u like, not what everyone else lik\xe2\x80\xa6'",28,None,193,369
5/5/2017 3:06,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (6) https://t.co/ftx4GN5dRR',28,CHANI,220,2161
5/5/2017 3:06,"b""\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbdI wake up every morning stress free and thankful I don't worry about sluts or fuck boys. 0 drama and I love it \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd""",0,None,134,138
5/5/2017 3:06,b'WHO KNEW I WOULD STRESS JUST FOR GIVING SOMEONE COFFEE I WANT TO CRY IM SO SORRY FOR PANICKING HUHU ANUBA',0,None,133,153
5/5/2017 3:06,"b""RT @Cheyennea_saur: Ohhhh what I'd do for a week or even just a day of stress free livin.""",3,None,218,270
5/5/2017 3:06,b'RT @Friendstagram: I am 3% human 97% stress',80,None,28,46
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,484,293
5/5/2017 3:05,"b'RT @meeceaaliyah: if you look up ""stress eating"" in the dictionary this is what you\'ll find https://t.co/6ujOmE9H1c'",1,None,158,227
5/5/2017 3:05,b'Are You Dragging? 13 Tips For Increasing Happiness and Work Productivity: https://t.co/MCJbRnxrkw https://t.co/7jmvGuE3bc',0,None,323,941
5/5/2017 3:05,"b""RT @yuurionbot: person: hey what's up \nme: my stress levels""",12,None,570,685
5/5/2017 3:05,b'I stress bought new bathing suits.',0,None,140,993
5/5/2017 3:05,"b""RT @softierbb: I'm so happy for my mutuals that got the email you all deserve to see Harry &amp; the ones who haven't babes dont stress y'all h\xe2\x80\xa6""",9,None,152,76
5/5/2017 3:05,"b""Low Stress Training results in cultivation of more bud. Here's how it works. https://t.co/KDJhJwqQ8M #marijuana""",0,marijuana,1238,1109
5/5/2017 3:05,"b""So don't stress, don't cr\xd1\x87, we don't need no w\xce\xb9ngs to fl\xd1\x87 @J94HB https://t.co/pP7pxkngSm""",0,None,1169,1424
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,529,380
5/5/2017 3:05,"b""RT @GedKACTU: 'The answer to economic stress is to raise wages' RBA. Slomo's response? Tax cuts for very wealthy - how about saving #penalt\xe2\x80\xa6""",10,None,2414,3747
5/5/2017 3:05,"b""RT @GetLikeMahd: If somebody don't wanna fw you, don't stress over that! It's millions of interesting people out in this world! \xf0\x9f\x92\xaf""",13,None,2877,659
5/5/2017 3:05,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,1181,96
5/5/2017 3:05,b'harry styles invented stress',0,None,4263,721
5/5/2017 3:05,"b'RT @PoeticalPorn: ""Never let the bullshit stress you.""'",284,None,252,617
5/5/2017 3:05,"b'RT @mashable: Sleep a little better, stress a little less https://t.co/Zjdw5XvvFv'",41,None,225,988
5/5/2017 3:05,"b""RT @harryetIouis: GETTING A TICKET FOR HARRY'S CONCERT IS LITERALLY JUST LIKE HUNGER GAMES, THAT BITCH WANT YALL STRESS THE FUCK OUT""",24,None,805,970
5/5/2017 3:05,"b'RT @layaamoon: Sis, there really is consistent, supportive, loyal men out here that just wanna love you &amp; not stress you. With great dick &amp;\xe2\x80\xa6'",5,None,1736,722
5/5/2017 3:05,b'The only thing that makes me stress is planning outfits',0,None,879,757
5/5/2017 3:05,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (5) https://t.co/dBqYXpsZHF',28,CHANI,140,867
5/5/2017 3:05,b'RT @OlgaGeorgina: Prevalence and prognosis of stress disorders: a review of the epidemio | CLEP @DovePress https://t.co/U0WsYTkkue',3,None,158,619
5/5/2017 3:05,b'That email just made my stress rise 100% for tmr',0,None,4927,897
5/5/2017 3:05,b'RT @motivate: if only stress burned calories',228,None,145,591
5/5/2017 3:05,b'RT @floraIgucci: me: harry why did you make this so stress-\nharry: haRRy WhY dId YoU mAKe tHIs sO sTrEssFuL lookin ass just shut up and tak\xe2\x80\xa6',211,None,5456,79
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,190,310
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,180,242
5/5/2017 3:05,"b""RT @darontestarks: Working hard for something we don't care about is called stress; working hard for something we love is called #passion.\xe2\x80\xa6""",1,passion,1456,1329
5/5/2017 3:05,b'stress free \xf0\x9f\x98\x8c',0,None,264,157
5/5/2017 3:05,"b""@WillSinge @JonasBlue heeey mama don't stress your mind \xf0\x9f\x8e\xa7\xf0\x9f\x8e\xa7\xf0\x9f\x8e\xa7 I LOVE IT https://t.co/vkhXHuQrgl""",0,None,95,258
5/5/2017 3:05,b'RT @melliebrooke: CANNOT STRESS THIS ENOUGH!!!!! lawdddd https://t.co/emffm97rnh',9,None,780,721
5/5/2017 3:05,"b""RT @Georgesolorzan4: @GrandesDevotion Arianators stay together. Remember Ariana taught us kindness don't stress yourselves but motivate oth\xe2\x80\xa6""",2,None,3,5
5/5/2017 3:05,b'RT @Ferragamo97: Gotta focus on the journey before you stress over the destination. https://t.co/0YMb2Donbz',5,None,650,626
5/5/2017 3:05,"b""If it's love you'd know. Don't stress yourself life is short\xf0\x9f\x99\x84\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbe""",0,None,418,359
5/5/2017 3:05,b'RT @floraIgucci: me: harry why did you make this so stress-\nharry: haRRy WhY dId YoU mAKe tHIs sO sTrEssFuL lookin ass just shut up and tak\xe2\x80\xa6',211,None,115,126
5/5/2017 3:05,b'RT @SincerelyTumblr: Stress level: senior year Troy Bolton https://t.co/oZKc4zQiFp',3418,None,225,320
5/5/2017 3:05,"b""RT @trina_varney: i'm about ready to fall apart from stress""",7,None,189,371
5/5/2017 3:05,b'RT @CindyMurdock: Gratitude Washes Away Stress\n\n#GratitudeAttitude \n#ThankfulThursday https://t.co/DY8lCPkuaf',1,GratitudeAttitude,16,22
5/5/2017 3:05,"b""@I_Am_Karen_ @wizardofcause True, they haven't worn down by the stress and monotony of adult life.""",0,None,93,94
5/5/2017 3:05,b'STRESS \xf0\x9f\x99\x84\xf0\x9f\x98\x85 https://t.co/0RDBrXBrx8',0,None,4906,253
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,223,256
5/5/2017 3:05,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,791,186
5/5/2017 3:05,"b'RT @layaamoon: Sis, there really is consistent, supportive, loyal men out here that just wanna love you &amp; not stress you. With great dick &amp;\xe2\x80\xa6'",5,None,1001,665
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,317,331
5/5/2017 3:05,b'People who are interested/active in politics are my type of ppl. No one puts themselves through that much stress w/o going crazy. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xe2\x9c\x8a\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb',0,None,124,229
5/5/2017 3:05,b'RT @dnasstyyy: @Forest__Hump fair enough. *hands you a stress ball*',1,None,2506,997
5/5/2017 3:05,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,456,462
5/5/2017 3:05,b'mixed signals stress me tf out',0,None,277,228
5/5/2017 3:05,b'She stress me and herself out.',0,None,228,105
5/5/2017 3:05,"b""RT @favLlGHTSKlN: can't stress this enough. i'm so understanding lol like just let me know what your intentions are. https://t.co/srf2dXaRBX""",3113,None,334,259
5/5/2017 3:05,"b""RT @favLlGHTSKlN: can't stress this enough. i'm so understanding lol like just let me know what your intentions are. https://t.co/srf2dXaRBX""",3113,None,985,1331
5/5/2017 3:05,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,841,328
5/5/2017 3:05,"b""Massage for relaxation or stress relief--here's the difference: https://t.co/VGCHPdZO8g https://t.co/AyLC2pSa7Y""",0,None,2832,1381
5/5/2017 3:05,b'#xxx #naked #bubble #camgirl #blonde #milf #camsex #asian sex and stress relief https://t.co/c0Uey3Wt58',0,xxx,14,21
5/5/2017 3:05,b'RT @SomerHollings: Brb dying from stress',70,None,392,313
5/5/2017 3:05,b'RT @_onbrovas: Working out is the best stress reliever.',1,None,891,807
5/5/2017 3:05,b'RT @ITSDJFLOW: I much rather spend my money on a hard working woman who out here hustling to take some stress away than a begging one who d\xe2\x80\xa6',23,None,727,477
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,372,428
5/5/2017 3:05,b'Take a break from the stress in your life with this #Romance book.  @MariaLisadeMora https://t.co/wzX3cV7iz8 https://t.co/wJp0yGcP6M',0,Romance,3328,4522
5/5/2017 3:05,b'Not even worth the stress.',0,None,469,1185
5/5/2017 3:05,b'RT @motivate: if only stress burned calories',228,None,1302,912
5/5/2017 3:05,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,1156,660
5/5/2017 3:05,b'RT @AcupuncturePro: LV 3 is one of the most used point in clinical practice! Great to relieve stress \xf0\x9f\x91\x8d https://t.co/1XLS2MQ9jY',4,None,316,1357
5/5/2017 3:05,"b'@m_druker @RobinMazumder Spain almost defaulted on its dept if you remember, and has put major stress on the unite EU because of it'",0,None,33,122
5/5/2017 3:05,"b""@sickofcupnoodle @Popdust Depends on your goals and how busy you are. I won't do it every week but if you plan ahea\xe2\x80\xa6 https://t.co/gmNrpM8Ot0""",0,None,1146,1856
5/5/2017 3:04,"b'RT @giulliamagueta: More love, more sex, no calls, just texts, new boy, no ex, more sleep, no stress...'",1,None,1608,981
5/5/2017 3:04,"b""RT @kissmeyoufoolLS: honestly when 1D comes back we all should get free tickets to their show because of all this stress they've caused us\xe2\x80\xa6""",1372,None,691,602
5/5/2017 3:04,"b""RT @jstines3Paints: MT @TeriGRight: #SpecialNeeds kids don't need STRESS of unreasonable #CommonCore demands! https://t.co/v6T3KPuee3 #Keep\xe2\x80\xa6""",1,SpecialNeeds,656,1453
5/5/2017 3:04,"b'id love to know why i stress abt over people, i hate myself'",0,None,97,128
5/5/2017 3:04,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,6315,90
5/5/2017 3:04,"b""RT @christiand: Relax. Trust that everything is in the right order and you are right where you need to be. Don't chase, don't worry, don't\xe2\x80\xa6""",781,None,14,141
5/5/2017 3:04,"b""RT @YJanKookie: I'm voting @BTS_twt for BBMAs Top Social Artist Award\n#BTSBBMAs\n\nPlease don't stress yourselves and please stay healthy""",17,BTSBBMAs,5,68
5/5/2017 3:04,"b'RT @activist360: Tragically, stress &amp; anxiety of knowing w/ a pre-existing condition insurance will be unaffordable \xe2\x80\x94 this alone will kill\xe2\x80\xa6'",153,None,289,619
5/5/2017 3:04,"b""RT @adamjohnsonNYC: Couldnt find via Google but curious if there's any studies showing how stress over healthcare bills compounds underlyin\xe2\x80\xa6""",26,None,1455,1622
5/5/2017 3:04,"b'RT @Brentconner_: """"Parents,\nproblems,\nfriends,\nfakes,\nlove,\ncrush,\ndating,\nresponsibility,\ndrama,\nheartache,\nfailures,\nstress,\nhappiness,\xe2\x80\xa6'",52,None,445,395
5/5/2017 3:04,"b'RT @Friendstagram: I love sleep. You forget about pain, problems, stress, everything for a while.'",60,None,212,46
5/5/2017 3:04,"b'RT @fuckyoucarlo: all i care about is money, why would I stress over u?'",412,None,559,599
5/5/2017 3:04,b'RT @idkusuk: Can u believe Harry Styles invented stress',286,None,3502,242
5/5/2017 3:04,"b""#IAmAPreexistingCondition: I'm going to stress myself out, causing cortisol levels to rise, essentially DYING.\n#LiberalLogic\n\n#AHCA #MAGA \xf0\x9f\x92\x85\xf0\x9f\xa5\x9b""",0,IAmAPreexistingCondition,1720,178
5/5/2017 3:04,b'RT @plies: B4 I Let U Stress Me I Rather Stop F*ckin With U All 2gether......',4678,None,2269,1760
5/5/2017 3:04,"b'@leternellle ooo it\'s ok nat don\'t stress too much on it :""00'",0,None,85,54
5/5/2017 3:04,b'RT @idkusuk: Can u believe Harry Styles invented stress',286,None,167,159
5/5/2017 3:04,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,3951,3136
5/5/2017 3:04,b'RT @SomerHollings: Brb dying from stress',70,None,11,22
5/5/2017 3:04,"b""RT @harryetIouis: GETTING A TICKET FOR HARRY'S CONCERT IS LITERALLY JUST LIKE HUNGER GAMES, THAT BITCH WANT YALL STRESS THE FUCK OUT""",24,None,974,753
5/5/2017 3:04,b'RT @BankshotThaOG: I got real shit to stress about...',2,None,695,418
5/5/2017 3:04,"b""RT @ShutUpKee: can't stress this . https://t.co/kCfIyKrENk""",2,None,886,900
5/5/2017 3:04,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (9) https://t.co/KVzxfXL3c8',34,CHANI,220,2161
5/5/2017 3:04,"b""RT @mytinysonharryy: When I see people stressin over Harry tickets while I'm stress free vs when I remember I'm not stressed bc I'm not see\xe2\x80\xa6""",3,None,199,79
5/5/2017 3:04,b'i got money i dont need to stress a nigga',0,None,4870,4017
5/5/2017 3:04,b'i have SO much stress rn &amp; all i want is a massage &amp; for someone to play with my hair',0,None,1650,1063
5/5/2017 3:04,"b""Having to let someone know I don't need their help is tough.  Why cause they may get mad. Oh well I am not dealing with the stress.""",0,None,368,2045
5/5/2017 3:04,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (10) https://t.co/aCWo0PLoj7',33,CHANI,220,2161
5/5/2017 3:04,b'RT @badbrattt_: stress keeps building',2,None,634,777
5/5/2017 3:04,"b'RT @PapaJackQuote: No lovelife, no commitment, less stress.'",198,None,183,497
5/5/2017 3:04,"b""@ZethTheSergal I think it's less about skill and more about destressing. Kinda like a stress ball""",0,None,296,203
5/5/2017 3:04,b'Live with a #roommate stress-free! #livingtogether https://t.co/0Z3EIifigE',0,roommate,97,190
5/5/2017 3:04,b'RT @00Smooth_: SMOOV - 1st &amp; LAST. No Stress Out Now! Another 1 OTW https://t.co/DiEXnxmbok',1,None,1075,1516
5/5/2017 3:04,b'RT @SomerHollings: Brb dying from stress',70,None,129,370
5/5/2017 3:04,b'RT @kaatemichael: Is it pouring rain or is it just my stress-induced tears from this past semester who knows',2,None,1188,1220
5/5/2017 3:04,"b""ok to help myself not stress, i think im gonna not go to anime next, since there's been some bumps in the road and i can try to focus--""",0,None,445,428
5/5/2017 3:04,b'I hope all this stress is worth it at the end.',0,None,2269,854
5/5/2017 3:04,b'Stress level: https://t.co/PJCaiNIHXO',0,None,220,126
5/5/2017 3:04,b'RT @SquirtVid: The best way to relieve stress \xf0\x9f\x98\x8c https://t.co/H8rx0yuy6e',25,None,54,324
5/5/2017 3:04,b'RT @SF9NATION: [PHOTO] Naver Update with #CHANI and #HWIYOUNG - Stress Out! Filming (11) https://t.co/3pJugNGHTk',48,CHANI,220,2161
5/5/2017 3:04,b'I need me a spinner for this stress...',0,None,647,470
5/5/2017 3:04,"b""RT @FactSoup: Don't cry over the past, it's gone. Don't stress about the future, it hasn't arrived. Live in the present and make it beautif\xe2\x80\xa6""",463,None,6,62
5/5/2017 3:04,b'RT @antijokeapple: This semester has helped me realize that Britney Spears shaving her head was an appropriate and rational reaction to str\xe2\x80\xa6',84,None,649,445
5/5/2017 3:04,"b'RT @medschooladvice: Tips to getting stress balanced: force urself to take time for just u. Do something u like, not what everyone else lik\xe2\x80\xa6'",28,None,1008,271
5/5/2017 3:04,b'RT @Juice2smooth: If you adding any stress to my life at this point you gotta go no matter who you are',195,None,533,450
5/5/2017 3:04,b'I stress myself out lol',0,None,140,244
5/5/2017 3:04,"b'RT @thickassdijah_: @Brandi_1216 its gone be okay , dont stress about it .'",1,None,832,494
5/5/2017 3:04,"b""When it's the end of the semester, you've got two days to do 56 assignments to bring your grade from a D to a B. That's real stress, lol.""",0,None,619,575
5/5/2017 3:04,b'so my legs do this thing in which they start spasming and aching like shit when im under way too much stress and LOL HELLO FINALS WEEK',0,None,2454,1682
5/5/2017 3:04,"b""@breezyfadee It will get better ! Don't stress \xf0\x9f\x98\x98\xf0\x9f\x98\x98""",0,None,954,608
