username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
SPECIALK _ô„¿,18892596,5/23/17 23:27,Lmao my mom stressed me tf out during finals https://t.co/KvO8DK7LM1,3306,None,309021,9717,0.6,1
Rick Wilson,19084896,5/23/17 1:58,"The Trump trolls are out in force tonight. Either that Bitcoin payment went through, or they're feeling stressed.",651,None,166749,3268,0,0
Nooruddean,176754253,5/24/17 14:40,"This can't be stressed enough. It's not just his father dying, it's watching his health deteriorate over time. That... https://t.co/srO6l9kZDq",154,None,80002,1669,0,0.5
Shannon Coulter,7019512,5/23/17 21:54,"You sound stressed, Sean. You stressed? https://t.co/OjVZecegVm",178,None,58391,19908,0.4,0.4
King Wolfie,136651187,5/24/17 0:05,sorry about the vlogs being posted late lately  been a little stressed lately,344,None,570103,2236,-0.3175,0.66
Cleveland Clinic,24236494,5/23/17 16:20,"Breathe deep. A full, deep breath makes your lungs &amp; chest send signals to your brain and you feel calmer.... https://t.co/eOANxDh6x8",83,None,982066,994,0.116666667,0.45
CM of Karnataka,2713703797,5/23/17 10:16,Fortunate to have spent time with HH the Dalai Lama today. He stressed the importance of Karuna in our daily life. https://t.co/jt6pFiCSLi,72,None,117584,537,0.1,0.266666667
James Charles,1117786405,5/23/17 2:37,i don't have an outfit for tomorrow yet and i'm stressed,110,None,204962,854,0,0
Cleveland Clinic,24236494,5/23/17 16:00,"Acupressure is a complementary treatment to acupuncture without needles.Try this if you're stressed:... https://t.co/4l7nfrIdbz",21,None,982066,994,0,0
Lindsay MacDonald,2805954792,5/24/17 17:58,"I don't think I've ever been more stressed out than when watching tonight's #The100. This finale is everything, guys.",40,The100,1866,615,0.5,0.5
ø¿.ø±™_ø_ø_ ø_øåø_øÂ,4196168301,5/23/17 11:14,Process of political transition must be made in accordance with UN mediation in Geneva - I stressed in meeting with... https://t.co/Akldh13Vyx,17,None,69280,16,0,0.1
InStyle,14934818,5/24/17 5:32,5 physical signs you're way too stressed and need to take a breather https://t.co/D9yVxdufcL,22,None,4542732,2759,0,0.142857143
Mac,23065354,5/19/17 22:36,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,10499,None,6475337,1215,0.2,0.3
Entrepreneur,19407053,5/24/17 19:45,#TipoftheDay: Feeling stressed out and overwhelmed? @letgotogrow has a suggestion that can move you forward. https://t.co/OkJpHh2VDV,34,TipoftheDay,3044061,1442,0,0
UN News Centre,104277809,5/24/17 17:52,.@WHO Director-General-elect Mr. Tedros stressed the need to provide health care for all and to implement internati... https://t.co/lrtzG6NLIB,22,None,268636,688,0,0
Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,132751,1085,0.285714286,0.535714286
The Notebook,233430873,5/19/17 3:17,"Care less, and you won't be so stressed.",625,None,5767369,176,-0.166666667,0.066666667
Monica Alba,71584155,5/18/17 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",373,None,22921,2110,0,0
Aseefa B Zardari,130159846,5/18/17 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,360,Sindh,1201979,718,0,0.3
AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",495,None,835627,6,0,0
Rachel Ballinger,468957900,5/18/17 21:13,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",121,None,424648,4802,1,1
Mark Medina,19319374,5/17/17 1:10,"On using No. 2 pick to draft player or trading it, Magic Johnson and Rob Pelinka stressed importance of keeping long term future in mind",94,None,42286,1425,0.15,0.508333333
KOENA MITRA,154916905,5/19/17 15:08,"#AmiKkr Ami confused.Ami Stressed. Ami Speechless. Ami worried. Do something #Kkr @iamsrk Tomar luck Ektu diye Dao Kkr ke",129,AmiKkr,547749,9,-0.4,0.7
Funny Or Die,15693493,5/16/17 22:00,"Stressed out trying to keep up with Trump, Comey, Russia leaks, etc? Try this new meditation on for size. https://t.co/WPisvtclM7",141,None,14203725,5683,0.136363636,0.454545455
Mikki Kendall,100136358,5/18/17 11:31,I was getting stressed out by the order of succession then names of people implicated started to leak &amp; well...will there be a GOP left?,67,None,74624,1033,-0.2,0.25
BRANDON WARDELL,58323389,5/18/17 21:20,"r u guys going 2 that dorm party later? dam. my social studies class has me stressed out, brother. i cant wait 2 underage drink tonight hehe",137,None,169766,1040,0.016666667,0.033333333
Becca Tilley,31047270,5/18/17 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,118,None,221363,282,-0.025,0.083333333
Sopan Deb,48120914,5/16/17 2:02,I could be in a hostage situation and I wouldn't be more stressed than I am right now.,76,None,166149,4649,0.392857143,0.517857143
Brad Williams,18723984,5/19/17 3:40,News got you stressed out? Here's a dwarf jumping into a ball pit https://t.co/3B1JxFXdbz,107,None,65608,284,0,0
Tay Jardine,17693277,5/19/17 13:54,Why is it that seeing all these anti stress fidget toys make me stressed out?????,111,None,164637,332,0,0
