username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Ari Melber,15441965,2017-05-31 19:57:45,"Watch for the tension between pundits telling Hillary to just ""be authentic,"" and telling Hillary she gave wrong answers by being candid.",1139,None,186074,5571,0.19999999999999998,0.8166666666666668
Ann Coulter,196168350,2017-05-31 20:47:48,"Roof says he committed sick crime bc he ""wanted to increase racial tension."" Media/Hollywood/Universities: ""Same.""  https://t.co/A2gBlXL6NO",321,None,1523885,703,-0.35714285714285715,0.49107142857142855
Brand,481376138,2017-06-01 06:29:01,"""Tension is who you think you should be, relaxation is who you are."" Chinese Proverb",245,None,763705,548581,0.0,0.0
Rajat Sharma,122658025,2017-06-01 11:06:32,"'At least I'm free from tension' @myogiadityanath told me, on whether he ever thought of marrying. #AapKiAdalat... https://t.co/Sy9uOLa1nf",74,AapKiAdalat,545142,13,0.05000000000000002,0.6000000000000001
Cliff Bleszinski,48485771,2017-06-01 17:58:03,If you ever have a game dev studio and you can make it dog friendly DO IT - it helps ease the tension for those stressful milestone times.,72,None,629147,2116,-0.012500000000000011,0.45
ghost,20876957,2017-05-31 16:50:52,Whenever I'm in a situation n feel racial tension I just simply remember I'm a king and it's ok 4 some to be intimidated by my royalty.,143,None,466476,918,0.25,0.4285714285714286
Divya Kumar Soti,87629490,2017-06-01 03:25:04,"In Jharkhand's Hazaribagh, Bajrang Dal activists beaten up for raising Jai Shri Ram slogans https://t.co/0HzrZTOUz2",66,None,4255,1047,0.0,0.0
Jacek Saryusz-Wolski,1485429175,2017-06-01 22:11:04,"""Poland is Preparing for 15 Years of Rising Tension with Russia"" https://t.co/gPgtgHQgDh",18,None,39095,1461,0.0,0.0
Clementine Ford,50239585,2017-05-31 05:07:05,"Getting pretty sick of men defending their rapist jokes by arguing thqt ""dark humour"" releases tension.",94,None,69598,2604,-0.20476190476190478,0.7523809523809524
ARY Sports,2987221847,2017-06-01 08:58:37,"Pakistan will be in tension, India will be in tension and the whole world will be in tension on 4th June:... https://t.co/pzZlLP2mow",37,None,42331,258,0.2,0.4
WWE,7517222,2017-05-31 00:20:42,The tension always grows a bit thicker when #USChampion @FightOwensFight &amp; @iLikeSamiZayn are in the ring... #SDLive https://t.co/LmjkkoQ2o9,243,USChampion,9138988,363,0.0,0.0
NFL,19426551,2017-05-31 05:15:04,"11-year veteran.
Or prized draft pick.

The @TBBuccaneers kicking job is already  up: https://t.co/vyT5uZ8uxm https://t.co/HvItJ3RPev",77,None,23163326,2455,0.0,0.0
America's Cup,138346220,2017-06-02 00:09:06,Action on the water today proving even light conditions can be exciting in the America's Cup Class. Full recap ... https://t.co/9nw7fPtUxQ,17,None,116949,583,0.2875,0.5375000000000001
Senator Rehman Malik,146832501,2017-05-31 15:08:25,"Yes i agree but i managed it with both the countries and it went well and the tension was almost came to end.
We al... https://t.co/LH7yWdfmrI",18,None,439341,24228,0.0,0.0
Bold & The Beautiful,93908298,2017-05-31 18:17:24,TODAY: The tension between Katie and Quinn intensifies as Katie threatens to go to Eric. https://t.co/cva3EXt19Q,18,None,97814,85,0.0,0.0
Pretty Little Liars,109303622,2017-05-30 22:00:02,"We can see tension from here.  T - 2 hours, EST/CST. #PrettyLittleLiars https://t.co/HOSszknMIj",247,PrettyLittleLiars,4141900,1070,0.0,0.0
Jon Cooper,27493883,2017-05-29 16:13:08,Forget public claims by top WH officials that Jared's Kremlin ties are no big deal. Rank-&amp;-file staffers say you can cut tension w/ a knife.,2088,None,39484,9774,0.16666666666666666,0.2222222222222222
Eric Garland,16912124,2017-05-28 21:27:05,"But media covers the ""palace intrigue"" angle. Maybe Bannon doesn't like him! There's tension! He's maybe possibly a ""moderating influence.""",609,None,115581,1425,0.0,1.0
